INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Alabama A & M University,Normal,AL,www.aamu.edu/,1,5,12,34.783368,-86.568502,18,13,0.5256,424,420,420,17,17,17,NULL,827,21475,9096,16596,0.6595,35000,25600,29600,30000,33800,0.4831,0.5169
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,1,5,12,33.50223,-86.80917,15,15,0.8569,570,565,NULL,24,25,23,NULL,1107,20621,7510,17062,0.8288,46300,37500,40000,42000,44500,0.4169,0.5831
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,1,5,12,34.722818,-86.63842,16,12,0.8203,595,590,NULL,27,28,26,NULL,1219,21107,9158,21232,0.7696,50400,39300,43400,44900,50200,0.5733,0.4267
Alabama State University,Montgomery,AL,www.alasu.edu,1,5,12,32.364317,-86.295677,19,13,0.5326,425,430,NULL,18,17,17,NULL,851,18184,8720,15656,0.5725,29400,22200,25200,25700,29400,0.3877,0.6123
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,1,5,13,33.2144,-87.545766,16,16,0.5105,555,565,540,27,28,25,7,1185,26400,9826,24950,0.867,48600,36500,41700,43600,47200,0.458,0.542
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,1,5,12,32.369939,-86.177351,18,12,0.8017,486,509,NULL,22,22,20,NULL,1009,17903,9080,19640,0.652,37700,30600,34500,33300,35500,0.3648,0.6352
Auburn University,Auburn,AL,www.auburn.edu,1,5,13,32.604685,-85.482782,16,15,0.8347,575,588,565,27,28,26,7,1215,25282,10200,27384,0.9052,52900,39900,44100,46800,49700,0.5103,0.4897
Birmingham Southern College,Birmingham,AL,www.bsc.edu/,2,5,12,33.515453,-86.853636,21,11,0.5339,560,560,NULL,27,28,26,NULL,1181,45162,31708,31708,0.8371,47100,31400,35600,39600,44700,0.5381,0.4619
Concordia College Alabama,Selma,AL,www.ccal.edu/,2,5,32,32.42443,-87.023531,22,8,0.5328,420,400,NULL,21,21,18,NULL,942,17603,10320,10320,0.5238,23700,21300,21600,22100,23000,0.559,0.441
Huntingdon College,Montgomery,AL,www.huntingdon.edu,2,5,12,32.350939,-86.285313,22,7,0.5839,510,490,NULL,22,22,21,NULL,1026,32370,24550,24550,0.705,40800,31200,36400,36300,37700,0.5065,0.4935
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,1,5,13,33.822128,-85.766644,18,13,0.8326,495,485,NULL,23,24,21,NULL,1041,20830,7092,13884,0.718,36700,29200,32000,33200,35800,0.4285,0.5715
Judson College,Marion,AL,www.judson.edu,2,5,43,32.630526,-87.316127,21,7,0.6525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28840,16258,16258,0.5606,34400,22100,25300,25500,32000,0.0319,0.9681
University of West Alabama,Livingston,AL,www.uwa.edu,1,5,43,32.59244,-88.186077,18,13,0.7199,NULL,NULL,NULL,21,21,20,NULL,990,17839,8018,14886,0.6451,37300,29800,33300,35700,35700,0.441,0.559
University of Mobile,Mobile,AL,www.umobile.edu,2,5,41,30.793247,-88.128934,22,10,0.5847,470,465,NULL,22,23,20,NULL,1014,31220,19475,19475,0.7713,38000,32100,36300,35800,40100,0.35,0.65
University of Montevallo,Montevallo,AL,www.montevallo.edu,1,5,21,33.10625,-86.865099,19,10,0.743,548,528,533,23,25,21,NULL,1070,22440,10660,21220,0.7881,36300,26600,30700,30800,35600,0.3343,0.6657
University of North Alabama,Florence,AL,www.una.edu,1,5,13,34.80658,-87.680999,18,12,0.6788,506,484,NULL,22,23,21,NULL,1029,15494,7412,13268,0.723,39600,30100,33700,35900,37300,0.4257,0.5743
Oakwood University,Huntsville,AL,www.oakwood.edu,2,5,12,34.756628,-86.661628,22,11,0.4787,476,450,NULL,20,20,19,NULL,928,36064,16720,16720,0.7637,38800,26900,29400,32000,35900,0.4318,0.5682
Samford University,Birmingham,AL,www.samford.edu,2,5,21,33.464578,-86.790932,18,14,0.5954,565,558,555,26,27,24,NULL,1165,40900,27324,27324,0.8795,57000,41600,46500,49200,58100,0.3508,0.6492
University of South Alabama,Mobile,AL,www.southalabama.edu,1,5,12,30.695081,-88.18189,16,16,0.8335,510,518,485,23,24,22,7,1048,18525,7188,14076,0.7107,44100,33900,37300,39300,43300,0.4388,0.5612
Spring Hill College,Mobile,AL,www.shc.edu,2,5,12,30.694751,-88.138199,21,11,0.5177,535,538,NULL,25,25,23,NULL,1116,44970,32468,32468,0.7262,49400,37000,36000,39400,46600,0.3967,0.6033
Stillman College,Tuscaloosa,AL,www.stillman.edu,2,5,13,33.199228,-87.585242,21,8,0.5901,448,424,NULL,17,16,16,NULL,811,26185,15865,15865,0.6687,27900,23100,23800,28700,26700,0.5398,0.4602
Troy University,Troy,AL,www.troy.edu,1,5,41,31.800128,-85.950191,18,16,0.4414,NULL,NULL,NULL,23,23,21,NULL,1050,17354,7564,14092,0.7514,38800,32500,35900,37100,38800,0.3884,0.6116
Tuskegee University,Tuskegee,AL,www.tuskegee.edu,2,5,32,32.431021,-85.710315,20,14,0.4922,455,465,NULL,22,20,20,NULL,978,32853,19570,19570,0.7178,41600,31500,33900,37100,40100,0.4258,0.5742
