INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,1,5,12,34.726644,-92.341835,17,12,0.5928,470,510,455,23,23,22,NULL,1048,22521,7432,17764,0.7109,37600,32200,33400,34300,37200,0.4066,0.5934
Lyon College,Batesville,AR,www.lyon.edu,2,5,33,35.778934,-91.628115,21,8,0.6142,505,528,473,25,25,24,NULL,1109,33605,24300,24300,0.7414,41800,31500,36200,35900,40000,0.529,0.471
University of Arkansas,Fayetteville,AR,www.uark.edu,1,5,13,36.06153,-94.178214,15,16,0.6204,555,565,NULL,26,27,25,NULL,1155,20350,8210,20300,0.8284,49100,38000,40800,44500,47200,0.4829,0.5171
University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,1,5,13,34.242192,-92.021263,22,10,0.3868,410,427,411,19,18,18,NULL,886,15409,6178,11908,0.6223,30300,23400,25800,26300,30900,0.4559,0.5441
Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,1,5,13,35.842779,-90.680478,18,13,0.7239,460,520,445,24,25,23,NULL,1088,19359,7720,13480,0.7454,35600,30400,30600,31800,35100,0.4276,0.5724
Arkansas Tech University,Russellville,AR,www.atu.edu,1,5,33,35.295227,-93.13233,18,13,0.8626,495,535,495,22,22,21,NULL,1010,16518,5862,10878,0.6739,37000,30200,32200,33500,36500,0.444,0.556
University of Central Arkansas,Conway,AR,www.uca.edu,1,5,13,35.078196,-92.45931,18,13,0.9426,490,515,475,23,24,22,NULL,1049,18354,7889,13806,0.6991,40400,31000,34400,36800,39000,0.4131,0.5869
Central Baptist College,Conway,AR,www.cbc.edu,2,5,13,35.084574,-92.444102,22,6,0.5697,445,500,450,21,21,21,NULL,985,21616,13800,13800,0.7105,35200,32700,34600,37100,38200,0.5406,0.4594
Harding University,Searcy,AR,www.harding.edu,2,5,32,35.249605,-91.729008,18,14,0.9912,545,540,NULL,25,26,24,NULL,1131,26484,17040,17040,0.8194,43600,33500,35900,39300,41500,0.4488,0.5512
Henderson State University,Arkadelphia,AR,www.hsu.edu,1,5,32,34.127792,-93.060313,19,13,0.6278,485,495,NULL,21,22,21,NULL,989,18679,7860,14220,0.5974,37900,28800,32400,34000,37300,0.4476,0.5524
Hendrix College,Conway,AR,www.hendrix.edu,2,5,13,35.09972,-92.442021,21,11,0.8282,600,600,NULL,28,27,27,NULL,1244,52536,39290,39290,0.8667,46400,28100,35000,36500,41200,0.4508,0.5492
John Brown University,Siloam Springs,AR,www.jbu.edu,2,5,32,36.191077,-94.559088,19,11,0.6978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34776,23588,23588,0.8449,54300,43700,46600,50400,54500,0.4328,0.5672
Ouachita Baptist University,Arkadelphia,AR,www.obu.edu,2,5,32,34.125045,-93.052442,21,11,0.7061,525,540,NULL,25,25,24,NULL,1112,32560,23320,23320,0.7583,41900,29400,34100,38500,39500,0.4797,0.5203
University of the Ozarks,Clarksville,AR,www.ozarks.edu,2,5,33,35.477785,-93.467924,22,8,0.8892,495,520,460,23,23,22,NULL,1061,35438,24470,24470,0.6792,38300,29400,34000,32400,34000,0.4723,0.5277
Williams Baptist College,Walnut Ridge,AR,www.wbcoll.edu,2,5,42,36.126825,-90.939876,22,8,0.7049,425,495,NULL,21,22,20,NULL,983,23161,14360,14360,0.5844,34400,26600,29400,31400,35200,0.4626,0.5374
Southern Arkansas University Main Campus,Magnolia,AR,WWW.SAUMAG.EDU,1,5,33,33.291195,-93.235087,19,11,0.7142,475,490,NULL,21,21,21,NULL,989,18887,7736,11186,0.6292,38100,31100,32400,33200,38700,0.435,0.565
University of Arkansas-Fort Smith,Fort Smith,AR,uafs.edu/,1,5,13,35.385345,-94.374073,22,12,0.5629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13983,4727,10511,0.6612,33500,28800,30200,30400,32200,0.4329,0.5671
