INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Art Center College of Design,Pasadena,CA,www.artcenter.edu,2,8,12,34.170844,-118.186901,30,9,0.809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57738,37830,37830,0.764,60800,47400,46600,53500,54700,0.5044,0.4956
Azusa Pacific University,Azusa,CA,www.apu.edu,2,8,21,34.130865,-117.88795,17,14,0.8183,515,515,505,23,23,23,8,1037,45472,33096,33096,0.8496,53300,43600,48200,47600,51700,0.3535,0.6465
Biola University,La Mirada,CA,www.biola.edu,2,8,21,33.904823,-118.017342,17,14,0.754,555,555,550,25,25,24,NULL,1122,46162,33322,33322,0.87,46700,35000,41700,42700,44400,0.3728,0.6272
Brooks Institute,Ventura,CA,www.brooks.edu,3,8,21,34.33851,-119.295231,30,6,0.9912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32323,20112,20112,0.8182,34300,26800,28900,31700,34100,0.4964,0.5036
California Baptist University,Riverside,CA,www.calbaptist.edu,2,8,11,33.928569,-117.42587,18,13,0.7967,485,485,475,21,21,21,NULL,976,39523,29422,29422,0.8252,43800,36900,39500,39800,43100,0.3672,0.6328
California College of the Arts,San Francisco,CA,www.cca.edu,2,8,11,37.76723,-122.399941,30,9,0.6369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55398,41942,41942,0.8017,45500,32000,33600,38800,45000,0.381,0.619
California Institute of Technology,Pasadena,CA,www.caltech.edu,2,8,12,34.139275,-118.12574,15,10,0.0883,765,785,760,35,35,36,NULL,1545,58755,43362,43362,0.9717,90300,85500,66900,80500,94800,0.6358,0.3642
California Lutheran University,Thousand Oaks,CA,www.callutheran.edu/,2,8,12,34.225551,-118.879467,18,13,0.6097,550,550,545,25,24,24,NULL,1109,50425,37140,37140,0.8296,55500,38100,45300,48000,54600,0.4437,0.5563
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu,1,8,23,35.29889,-120.65856,18,16,0.3089,595,630,NULL,28,28,29,NULL,1234,24218,8918,20078,0.9257,67400,47800,54800,59900,61800,0.5409,0.4591
Alliant International University-San Diego,San Diego,CA,www.alliant.edu,2,8,11,32.897056,-117.094398,17,9,0.3855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30066,16350,16350,0.8333,60600,56100,54200,56200,55200,0.411,0.589
