INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Adams State University,Alamosa,CO,www.adams.edu,1,7,33,37.477238,-105.880943,18,10,0.6529,475,509,NULL,20,19,20,NULL,955,19043,8014,18814,0.5829,37700,26600,31500,32200,34800,0.5156,0.4844
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,www.ucdenver.edu/,1,7,11,39.74603,-104.999181,16,15,0.7299,545,550,NULL,23,23,23,NULL,1055,19096,8500,22852,0.7169,74600,47800,58300,59900,86000,0.4702,0.5298
University of Colorado Colorado Springs,Colorado Springs,CO,www.uccs.edu,1,7,11,38.892735,-104.800296,18,12,0.924,540,545,535,24,23,23,8,1089,18890,7462,17494,0.6614,45000,34500,39400,41400,44400,0.4757,0.5243
University of Colorado Boulder,Boulder,CO,www.colorado.edu,1,7,13,40.004415,-105.267061,15,16,0.8416,575,600,NULL,27,27,27,NULL,1207,28887,10789,33151,0.8381,55800,38700,43900,47000,52400,0.5595,0.4405
Colorado Christian University,Lakewood,CO,WWW.CCU.EDU,2,7,12,39.711701,-105.094836,19,12,0.9432,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38130,26430,26430,0.7205,42200,32400,37600,40300,44500,0.3361,0.6639
Colorado College,Colorado Springs,CO,www.coloradocollege.edu,2,7,11,38.84657,-104.82422,21,11,0.179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57400,46410,46410,0.9406,47800,32100,34200,37600,41500,0.4656,0.5344
Colorado School of Mines,Golden,CO,www.mines.edu,1,7,21,39.75079,-105.227148,16,13,0.3647,635,680,605,30,29,31,9,1333,30154,16918,33598,0.9371,84700,67200,72900,80900,77800,0.7337,0.2663
Colorado State University-Fort Collins,Fort Collins,CO,www.colostate.edu,1,7,12,40.574759,-105.08083,15,16,0.8048,565,575,NULL,25,25,25,NULL,1128,22929,9897,26277,0.8504,50800,36400,41000,43600,47300,0.4846,0.5154
University of Denver,Denver,CO,www.du.edu,2,7,11,39.695954,-104.964625,16,13,0.7649,595,610,565,28,28,27,9,1231,55476,42090,42090,0.8642,60700,47800,51700,53000,58000,0.4646,0.5354
Fort Lewis College,Durango,CO,fortlewis.edu/,1,7,32,37.275428,-107.867003,21,13,0.9082,546,515,NULL,22,21,22,NULL,1020,21691,7252,17780,0.5238,39100,28700,32300,33300,35900,0.5151,0.4849
Colorado Mesa University,Grand Junction,CO,www.coloradomesa.edu,1,7,13,39.076354,-108.540281,22,12,0.8227,477,490,NULL,21,20,21,NULL,970,18169,7116,17720,0.656,38600,32600,34800,36000,37900,0.4656,0.5344
Metropolitan State University of Denver,Denver,CO,www.msudenver.edu/,1,7,11,39.742248,-105.002391,19,15,0.6511,530,510,NULL,21,20,20,NULL,973,14522,6070,18888,0.625,42100,33200,36300,37700,40300,0.4669,0.5331
Naropa University,Boulder,CO,www.naropa.edu,2,7,13,40.014816,-105.267073,18,6,0.7006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43638,29970,29970,0.7027,26700,19300,22400,23600,25200,0.3433,0.6567
University of Northern Colorado,Greeley,CO,www.unco.edu,1,7,13,40.403178,-104.701721,16,16,0.7088,525,530,NULL,22,22,22,NULL,1033,19187,7733,19277,0.6809,43600,33300,36500,38300,41000,0.363,0.637
Regis University,Denver,CO,www.regis.edu/,2,7,11,39.78976,-105.031385,18,13,0.9604,540,530,530,25,25,24,NULL,1108,44191,33060,33060,0.7789,57200,50500,52800,55400,56900,0.3901,0.6099
Colorado State University-Pueblo,Pueblo,CO,www.csupueblo.edu,1,7,12,38.309219,-104.579846,19,12,0.9278,485,495,NULL,21,20,21,NULL,971,17795,7834,18775,0.6322,39500,33000,33900,36100,38200,0.4753,0.5247
Western State Colorado University,Gunnison,CO,www.western.edu,1,7,33,38.547421,-106.91971,20,10,0.9741,495,424,NULL,22,21,21,NULL,990,19547,7874,18319,0.6968,39700,29500,32500,34400,37800,0.6028,0.3972
Johnson & Wales University-Denver,Denver,CO,www.jwu.edu,2,7,11,39.747969,-104.905511,23,10,0.8221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40171,28539,28539,0.6897,38800,30700,33800,35400,37000,0.3994,0.6006
