INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
University of Bridgeport,Bridgeport,CT,www.bridgeport.edu,2,1,12,41.165587,-73.189352,18,13,0.6072,450,450,450,19,17,19,NULL,899,46680,29920,29920,0.6704,44700,34700,40100,39100,42600,0.3452,0.6548
Central Connecticut State University,New Britain,CT,www.ccsu.edu,1,1,21,41.690258,-72.770094,18,12,0.6044,505,510,495,22,21,20,9,1015,20543,8877,20612,0.8028,47500,36500,40900,42600,44600,0.528,0.472
Connecticut College,New London,CT,www.conncoll.edu,2,1,13,41.379833,-72.107321,21,11,0.376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60682,47740,47740,0.9121,58300,39000,43800,49300,53500,0.3824,0.6176
University of Connecticut,Storrs,CT,uconn.edu/,1,1,21,41.806261,-72.247969,15,17,0.4996,600,640,610,28,NULL,NULL,NULL,1246,26966,12700,32880,0.9344,59600,45600,51100,55200,56600,0.5037,0.4963
Eastern Connecticut State University,Willimantic,CT,www.easternct.edu/,1,1,31,41.721673,-72.218753,20,14,0.631,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23717,9560,21295,0.7705,46200,35300,38600,40500,43100,0.4774,0.5226
Fairfield University,Fairfield,CT,fairfield.edu/,2,1,21,41.160732,-73.25778,18,14,0.7153,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57966,43770,43770,0.8879,76200,53600,61400,64600,72500,0.4069,0.5931
University of Hartford,West Hartford,CT,www.hartford.edu,2,1,12,41.796485,-72.714965,17,14,0.7213,495,500,NULL,22,NULL,NULL,NULL,1000,47114,35444,35444,0.7418,50300,36100,39800,42000,47100,0.5002,0.4998
Mitchell College,New London,CT,www.mitchell.edu,2,1,13,41.328075,-72.095337,22,8,0.7004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44994,30012,30012,0.5909,32800,24700,27700,28600,33400,0.5155,0.4845
University of New Haven,West Haven,CT,www.newhaven.edu,2,1,21,41.291314,-72.961472,18,14,0.8086,520,535,520,24,22,23,NULL,1063,49390,34630,34630,0.7967,50700,39300,44700,46000,48300,0.5038,0.4962
Post University,Waterbury,CT,www.post.edu/,3,1,22,41.535334,-73.080525,18,12,0.8707,425,430,435,14,NULL,NULL,NULL,855,34350,16510,16510,0.4826,42400,34900,39300,39900,39000,0.4061,0.5939
Quinnipiac University,Hamden,CT,www.quinnipiac.edu,2,1,21,41.419527,-72.895542,18,14,0.6591,535,555,543,25,24,25,NULL,1104,55265,40670,40670,0.8479,65200,48500,54200,58500,60900,0.3983,0.6017
Sacred Heart University,Fairfield,CT,www.sacredheart.edu,2,1,21,41.221548,-73.24461,18,14,0.5715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52550,35750,35750,0.8224,58900,44600,49200,51400,57000,0.3601,0.6399
University of Saint Joseph,West Hartford,CT,www.usj.edu,2,1,13,41.783028,-72.730489,18,10,0.7997,480,485,490,21,19,20,7,969,46088,34755,34755,0.7908,50800,42200,46100,46600,48100,0.014,0.986
Southern Connecticut State University,New Haven,CT,www.southernct.edu,1,1,12,41.331852,-72.948806,18,13,0.7154,470,460,470,20,NULL,NULL,NULL,932,19704,9157,20937,0.7509,44100,35800,38800,40600,43700,0.3969,0.6031
Trinity College,Hartford,CT,www.Trincoll.edu,2,1,12,41.746746,-72.688684,21,11,0.3304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62310,49056,49056,0.8904,67600,49000,51500,55700,68900,0.5252,0.4748
Wesleyan University,Middletown,CT,www.wesleyan.edu,2,1,13,41.55678,-72.656755,21,14,0.2391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62849,48272,48272,0.9649,60400,38500,41100,46500,57300,0.4775,0.5225
Western Connecticut State University,Danbury,CT,www.wcsu.edu,1,1,13,41.400365,-73.444264,19,13,0.4003,490,490,495,21,22,22,NULL,981,22558,9077,20812,0.7939,47000,35900,39300,42700,45200,0.4625,0.5375
Yale University,New Haven,CT,www.yale.edu,2,1,12,41.311158,-72.926688,15,17,0.063,755,750,750,33,NULL,NULL,NULL,1493,61620,45800,45800,0.9838,105200,75500,93200,100500,88700,0.5098,0.4902
