INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
The Baptist College of Florida,Graceville,FL,www.baptistcollege.edu,2,5,32,30.956401,-85.519033,24,7,0.5556,545,465,NULL,20,23,22,NULL,962,16788,9700,9700,0.7209,35100,27100,27400,29600,34100,0.6256,0.3744
Barry University,Miami,FL,www.barry.edu,2,5,21,25.878865,-80.196136,17,12,0.4611,470,462,460,20,19,19,NULL,938,43885,28160,28160,0.6228,49700,43100,46500,44800,51500,0.3856,0.6144
Bethune-Cookman University,Daytona Beach,FL,www.cookman.edu,2,5,13,29.210193,-81.031429,21,13,0.6371,405,395,390,17,16,16,NULL,803,27130,14410,14410,0.6598,32400,24000,26800,27200,32000,0.4113,0.5887
Lynn University,Boca Raton,FL,www.lynn.edu,2,5,13,26.382777,-80.123851,18,11,0.7487,490,483,480,21,20,20,NULL,980,49535,35050,35050,0.694,45100,35500,38000,39100,39900,0.5317,0.4683
Carlos Albizu University-Miami,Miami,FL,www.albizu.edu,2,5,21,25.795162,-80.355002,26,6,0.3529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30878,12240,12240,0.5556,32100,30300,31100,32000,29700,0.2634,0.7366
Johnson University Florida,Kissimmee,FL,www.johnsonu.edu/florida,2,5,21,28.301869,-81.362512,24,8,0.3533,480,470,460,20,19,20,NULL,940,20568,14270,14270,0.3864,29900,25100,29000,28500,32700,0.4864,0.5136
University of Central Florida,Orlando,FL,www.ucf.edu/,1,5,21,28.60106,-81.198805,15,15,0.4961,590,595,560,26,NULL,NULL,NULL,1185,19752,6368,22467,0.875,48800,36600,40700,42800,46700,0.452,0.548
Clearwater Christian College,Clearwater,FL,www.clearwater.edu,2,5,12,27.963556,-82.697305,22,8,0.6192,495,485,NULL,21,20,20,NULL,974,28527,17865,17865,0.6,39700,27800,35100,38000,36700,0.5232,0.4768
Eckerd College,Saint Petersburg,FL,www.eckerd.edu,2,5,12,27.718996,-82.685992,21,11,0.7274,570,555,NULL,26,25,24,NULL,1153,51708,38668,38668,0.8093,49100,35700,39100,39000,42300,0.3797,0.6203
Edward Waters College,Jacksonville,FL,www.ewc.edu,2,5,11,30.34513,-81.684817,22,8,0.5295,420,405,400,17,15,17,NULL,825,23235,12525,12525,0.5026,28500,22600,24900,24200,27900,0.5383,0.4617
