INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Abraham Baldwin Agricultural College,Tifton,GA,www.abac.edu,1,5,32,31.481889,-83.528281,23,10,0.7726,465,460,NULL,20,19,19,NULL,927,11674,3394,9839,0.5946,35600,27700,31100,31100,34600,0.475,0.525
Agnes Scott College,Decatur,GA,www.agnesscott.edu,2,5,21,33.769996,-84.29563,21,8,0.6772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46124,35982,35982,0.8175,42400,26300,34200,39600,42100,0,1
Albany State University,Albany,GA,www.asurams.edu/,1,5,13,31.571395,-84.14306,19,13,0.4729,450,430,NULL,18,19,18,NULL,875,18488,5192,15196,0.687,35400,26300,29600,29300,33700,0.3275,0.6725
Armstrong State University,Savannah,GA,www.armstrong.edu,1,5,12,31.978109,-81.160409,18,12,0.6803,510,495,NULL,22,22,21,NULL,1006,19983,5266,15271,0.7002,41900,35600,37700,38900,41400,0.3311,0.6689
Point University,West Point,GA,point.edu,2,5,32,32.879715,-85.185134,22,11,0.5189,455,470,NULL,19,18,19,NULL,917,27053,17650,17650,0.4789,33400,25700,28800,28800,29800,0.4475,0.5525
Clark Atlanta University,Atlanta,GA,www.cau.edu,2,5,11,33.748772,-84.412818,16,14,0.8467,430,420,NULL,18,NULL,NULL,NULL,860,35471,21334,21334,0.6115,37700,25900,31000,31600,35100,0.2474,0.7526
Berry College,Mount Berry,GA,www.berry.edu,2,5,23,34.289254,-85.189077,20,11,0.6083,580,580,570,27,27,25,NULL,1183,43283,30530,30530,0.7902,42700,29600,34300,37200,41900,0.3884,0.6116
Brenau University,Gainesville,GA,www.brenau.edu,2,5,13,34.303117,-83.821513,18,9,0.7581,500,485,NULL,NULL,NULL,NULL,NULL,985,35745,24780,24780,0.6617,45500,36000,40200,40700,44700,0.0961,0.9039
College of Coastal Georgia,Brunswick,GA,www.ccga.edu,1,5,13,31.182741,-81.486086,23,9,0.9235,465,450,NULL,20,19,19,NULL,920,15817,4510,12566,0.6224,32900,26600,29000,30100,31300,0.3442,0.6558
Clayton  State University,Morrow,GA,www.clayton.edu,1,5,21,33.594079,-84.328174,19,12,0.4245,470,460,NULL,20,20,20,NULL,930,17292,5246,15251,0.6726,41700,33800,36200,37700,40700,0.3049,0.6951
Columbus State University,Columbus,GA,www.columbusstate.edu,1,5,12,32.501556,-84.940796,18,12,0.5522,495,485,480,21,21,20,8,976,17329,5613,15930,0.7178,38100,29700,31800,32800,38000,0.399,0.601
Covenant College,Lookout Mountain,GA,www.covenant.edu,2,5,21,34.963327,-85.37496,21,11,0.9664,600,565,590,26,28,25,7,1175,40235,30160,30160,0.8508,46200,33400,39200,41200,44600,0.4231,0.5769
Emmanuel College,Franklin Springs,GA,www.ec.edu,2,5,32,34.282617,-83.146825,22,8,0.4912,475,485,NULL,NULL,NULL,NULL,NULL,960,26177,18170,18170,0.6228,32900,24700,26100,30300,34200,0.5144,0.4856
Emory University,Atlanta,GA,www.emory.edu,2,5,21,33.798836,-84.325782,15,17,0.2682,670,700,690,31,30,31,9,1366,59908,45008,45008,0.9503,77700,58900,68600,71800,70100,0.4358,0.5642
Fort Valley State University,Fort Valley,GA,www.fvsu.edu,1,5,31,32.538163,-83.895548,20,11,0.2419,450,425,NULL,18,18,19,NULL,873,20479,6448,18954,0.565,31600,23600,25500,28000,30500,0.4116,0.5884
Georgia Institute of Technology,Atlanta,GA,www.gatech.edu,1,5,11,33.773732,-84.396019,15,17,0.3338,675,725,680,32,32,32,9,1400,23216,11394,30698,0.9603,80300,59900,64600,69300,73900,0.6608,0.3392
Georgia Southwestern State University,Americus,GA,https://gsw.edu/,1,5,32,32.058198,-84.217755,19,10,0.6964,490,480,NULL,21,20,20,NULL,970,18389,5158,15163,0.6963,38300,30600,32800,34300,39300,0.3644,0.6356
