INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
AIB College of Business,Des Moines,IA,www.aib.edu,2,4,12,41.561953,-93.645694,29,7,0.5922,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23486,15666,15666,0.7551,39400,33600,33900,36300,38900,0.4733,0.5267
Briar Cliff University,Sioux City,IA,www.briarcliff.edu,2,4,13,42.526919,-96.42696,22,8,0.6169,475,510,NULL,22,21,22,NULL,1005,38198,27202,27202,0.5419,41900,34900,36700,37500,42900,0.4253,0.5747
Buena Vista University,Storm Lake,IA,www.bvu.edu,2,4,33,42.642529,-95.208053,22,11,0.6789,435,478,450,23,23,22,NULL,1047,40430,30406,30406,0.7341,40300,34200,35700,37400,38900,0.3615,0.6385
Central College,Pella,IA,www.central.edu,2,4,32,41.400236,-92.918664,21,11,0.689,500,505,NULL,24,24,24,NULL,1101,45151,32124,32124,0.7767,48100,35100,38600,40700,44100,0.4891,0.5109
Clarke University,Dubuque,IA,www.clarke.edu,2,4,13,42.508619,-90.691512,22,11,0.7049,489,509,NULL,22,22,22,NULL,1029,39916,28900,28900,0.7333,44000,38100,38100,39800,42800,0.314,0.686
Coe College,Cedar Rapids,IA,www.coe.edu,2,4,12,41.986383,-91.657535,21,11,0.553,573,580,543,25,26,25,NULL,1146,47060,37320,37320,0.7758,46400,38800,40300,42700,43700,0.4387,0.5613
Cornell College,Mount Vernon,IA,www.cornellcollege.edu,2,4,31,41.925982,-91.425435,21,11,0.7363,600,585,565,27,27,26,NULL,1200,48905,37500,37500,0.8259,46200,30000,35900,36300,42300,0.4667,0.5333
Dordt College,Sioux Center,IA,www.dordt.edu,2,4,33,43.08396,-96.166319,22,11,0.7299,535,545,505,24,24,24,NULL,1100,38709,27460,27460,0.8413,42200,36100,36000,38200,40300,0.5488,0.4512
Drake University,Des Moines,IA,www.drake.edu,2,4,12,41.60381,-93.654062,18,14,0.6926,585,600,NULL,28,28,27,NULL,1239,44261,32246,32246,0.8859,68100,46900,57200,57200,66900,0.4334,0.5666
University of Dubuque,Dubuque,IA,www.dbq.edu,2,4,13,42.498027,-90.693568,20,11,0.7788,440,440,NULL,20,19,20,NULL,941,35300,26950,26950,0.6485,40900,31500,33700,35800,37300,0.5782,0.4218
Emmaus Bible College,Dubuque,IA,www.emmaus.edu,2,4,13,42.509041,-90.705921,24,8,0.3976,497,473,NULL,22,23,20,NULL,1018,24460,15390,15390,0.8519,33300,23200,25300,30700,29100,0.4398,0.5602
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,www.faith.edu,2,4,21,41.736338,-93.624208,24,8,0.6733,480,475,435,22,22,20,NULL,1004,25899,16086,16086,0.6667,30100,27500,28500,32300,30700,0.4526,0.5474
Graceland University-Lamoni,Lamoni,IA,www.graceland.edu,2,4,43,40.615966,-93.924893,19,11,0.4984,425,435,NULL,21,19,20,NULL,938,35380,24920,24920,0.5969,39900,33400,34500,35200,39200,0.4587,0.5413
Grand View University,Des Moines,IA,www.grandview.edu,2,4,12,41.620909,-93.605016,22,10,0.987,450,485,400,21,20,21,7,967,32667,23426,23426,0.7138,40800,35000,38500,39500,38300,0.4421,0.5579
