INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
School of the Art Institute of Chicago,Chicago,IL,www.saic.edu,2,3,11,41.879646,-87.621411,30,12,0.6915,575,NULL,560,23,25,NULL,NULL,1065,57361,42230,42230,0.818,37600,27700,30100,32900,34300,0.2846,0.7154
Augustana College,Rock Island,IL,www.augustana.edu,2,3,13,41.500326,-90.552402,21,11,0.5361,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46882,37236,37236,0.8293,53400,36700,43300,47000,50100,0.4208,0.5792
Aurora University,Aurora,IL,aurora.edu,2,3,21,41.754465,-88.349469,18,12,0.811,495,510,NULL,22,21,21,NULL,1010,31767,21320,21320,0.7103,45200,36000,36800,39200,43000,0.3335,0.6665
Blackburn College,Carlinville,IL,www.blackburn.edu,2,3,32,39.288298,-89.872248,22,8,0.651,473,488,NULL,21,21,20,NULL,989,25292,19560,19560,0.6174,39700,29000,34500,34700,38900,0.4567,0.5433
Bradley University,Peoria,IL,www.bradley.edu,2,3,12,40.697605,-89.61462,19,14,0.643,550,585,530,26,26,26,8,1162,42090,30844,30844,0.8612,57400,41500,46000,48900,54200,0.4862,0.5138
Chicago State University,Chicago,IL,www.csu.edu,1,3,11,41.718813,-87.610344,19,12,0.2996,NULL,484,NULL,18,18,18,NULL,870,19120,9846,16806,0.5289,36500,29500,32600,34000,37000,0.2845,0.7155
University of Chicago,Chicago,IL,WWW.UCHICAGO.EDU,2,3,11,41.78917,-87.601196,15,17,0.0876,760,758,745,34,34,33,NULL,1505,64988,49380,49380,0.9881,96100,71700,80500,81700,87800,0.5273,0.4727
Columbia College-Chicago,Chicago,IL,www.colum.edu,2,3,11,41.873589,-87.624554,19,13,0.8853,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39109,23544,23544,0.7096,36400,27700,30300,32500,33900,0.4417,0.5583
Concordia University-Chicago,River Forest,IL,www.cuchicago.edu,2,3,21,41.898574,-87.810009,32,11,0.5385,520,520,NULL,22,22,22,NULL,1031,36468,28718,28718,0.6543,40500,31100,37300,37600,42300,0.3877,0.6123
DePaul University,Chicago,IL,www.depaul.edu,2,3,11,41.923332,-87.654116,17,15,0.6988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48173,35071,35071,0.8716,55800,42300,46400,49700,54900,0.4667,0.5333
Eastern Illinois University,Charleston,IL,https://www.eiu.edu/,1,3,32,39.483017,-88.175505,18,13,0.4976,NULL,NULL,NULL,22,22,21,NULL,1010,23811,11108,28088,0.7555,43500,32900,36300,38800,43100,0.4023,0.5977
Elmhurst College,Elmhurst,IL,www.elmhurst.edu,2,3,21,41.899215,-87.946096,19,10,0.6771,530,540,NULL,24,24,23,NULL,1089,44143,33950,33950,0.8162,50800,37600,42900,44800,47900,0.3992,0.6008
Eureka College,Eureka,IL,www.eureka.edu,2,3,31,40.713042,-89.268952,22,8,0.6448,570,585,570,23,23,22,NULL,1053,28945,20060,20060,0.6449,40000,32400,31500,33100,37100,0.4387,0.5613
Greenville College,Greenville,IL,www.greenville.edu,2,3,32,38.894751,-89.409178,20,11,0.5568,489,495,465,23,23,22,7,1056,34512,24360,24360,0.704,39600,31700,34700,35000,39400,0.5071,0.4929
Hebrew Theological College,Skokie,IL,www.htc.edu/,2,3,13,42.011055,-87.761119,24,7,0.9284,530,500,520,22,24,21,NULL,1030,34558,19190,19190,0.2278,31000,26000,25200,22000,25700,0.1535,0.8465
University of Illinois at Chicago,Chicago,IL,www.uic.edu,1,3,11,41.872651,-87.651145,15,15,0.7448,525,595,NULL,25,25,25,NULL,1125,25146,13634,26024,0.797,62200,43600,50500,51700,58200,0.4982,0.5018
Benedictine University,Lisle,IL,www.ben.edu,2,3,21,41.776395,-88.095948,17,12,0.7717,NULL,NULL,NULL,22,22,22,8,1030,35143,26558,26558,0.7279,55100,40900,45300,45600,54100,0.4144,0.5856
University of Illinois at Urbana-Champaign,Champaign,IL,www.illinois.edu/,1,3,13,40.108864,-88.230309,15,16,0.5904,640,745,645,29,30,30,9,1326,29086,15020,29646,0.9347,65400,46500,52300,58100,62200,0.5603,0.4397
Illinois Wesleyan University,Bloomington,IL,www.iwu.edu,2,3,13,40.491522,-88.990622,21,11,0.6043,555,710,NULL,28,28,28,NULL,1249,50324,40844,40844,0.9203,61000,41700,47400,54900,56800,0.4387,0.5613
Illinois College,Jacksonville,IL,www.ic.edu,2,3,32,39.730827,-90.246256,21,8,0.5413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38644,29210,29210,0.763,41400,32600,35000,37800,40000,0.5,0.5
Illinois Institute of Technology,Chicago,IL,www.iit.edu,2,3,11,41.833801,-87.628346,16,14,0.506,580,690,NULL,28,29,30,NULL,1266,51572,41645,41645,0.868,76500,58500,66600,66500,68700,0.694,0.306
Illinois State University,Normal,IL,illinoisstate.edu/,1,3,22,40.509724,-88.99234,16,16,0.7388,NULL,NULL,NULL,24,24,23,NULL,1110,26259,13296,20886,0.8126,49000,37700,40600,43700,46800,0.4495,0.5505
Judson University,Elgin,IL,www.judsonu.edu,2,3,12,42.05896,-88.289708,20,10,0.7312,555,580,NULL,23,22,22,NULL,1080,39014,27530,27530,0.6915,45200,35600,37700,41300,42600,0.4234,0.5766
