INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Anderson University,Anderson,IN,www.anderson.edu,2,3,13,40.112167,-85.662292,19,11,0.5491,515,515,NULL,23,24,23,NULL,1048,38820,26850,26850,0.7465,38700,32600,35200,35900,38000,0.3981,0.6019
Ball State University,Muncie,IN,www.bsu.edu,1,3,13,40.198942,-85.408863,16,16,0.5988,550,545,530,22,22,21,NULL,1066,21807,9344,24610,0.8141,41700,32400,35600,37700,39800,0.4162,0.5838
Bethel College-Indiana,Mishawaka,IN,www.bethelcollege.edu,2,3,13,41.677671,-86.191642,20,10,0.7053,505,525,490,23,22,22,NULL,1040,34378,25830,25830,0.8122,38400,33000,35400,37300,40400,0.35,0.65
Butler University,Indianapolis,IN,www.butler.edu,2,3,11,39.840662,-86.171791,18,14,0.6846,580,590,565,27,28,27,9,1205,48784,35652,35652,0.9014,67300,51800,60400,61100,61300,0.4019,0.5981
Calumet College of Saint Joseph,Whiting,IN,www.ccsj.edu,2,3,21,41.670925,-87.492987,20,6,0.3378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20711,16405,16405,0.5772,45500,39600,44700,44000,43500,0.5379,0.4621
DePauw University,Greencastle,IN,www.depauw.edu,2,3,32,39.63953,-86.863556,21,11,0.566,585,610,575,27,28,27,NULL,1213,53410,42746,42746,0.9267,59100,39400,47400,51900,53700,0.4577,0.5423
Earlham College,Richmond,IN,www.earlham.edu,2,3,32,39.822278,-84.911464,21,11,0.6452,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52710,42870,42870,0.8419,37700,24800,30700,30700,36200,0.4512,0.5488
University of Evansville,Evansville,IN,www.evansville.edu/,2,3,12,37.969955,-87.531963,20,11,0.8295,560,565,535,26,25,25,NULL,1144,43495,31776,31776,0.8453,45700,37600,39000,41800,44300,0.4501,0.5499
Franklin College,Franklin,IN,www.franklincollege.edu,2,3,21,39.478298,-86.047182,21,11,0.6922,505,515,490,23,22,23,7,1031,39697,28185,28185,0.7941,45000,32500,36400,40400,42500,0.4677,0.5323
Goshen College,Goshen,IN,www.goshen.edu,2,3,13,41.564254,-85.826766,22,8,0.54,548,553,NULL,25,25,26,NULL,1109,38153,29700,29700,0.7725,40300,33700,35500,36500,37600,0.4236,0.5764
Grace College and Theological Seminary,Winona Lake,IN,www.grace.edu,2,3,32,41.226473,-85.813931,20,11,0.8012,555,560,NULL,24,24,24,NULL,1110,33215,24670,24670,0.8121,36100,28600,31200,32000,34300,0.4641,0.5359
Hanover College,Hanover,IN,www.hanover.edu,2,3,32,38.712488,-85.461086,21,11,0.6447,530,525,500,26,NULL,NULL,NULL,1101,43582,33023,33023,0.8174,46100,33700,37700,40500,42900,0.419,0.581
Holy Cross College,Notre Dame,IN,www.hcc-nd.edu,2,3,21,41.699982,-86.253668,21,8,0.9316,485,465,NULL,21,22,21,NULL,969,35688,27150,27150,0.6203,44400,29300,34800,40100,38000,0.6523,0.3477
Huntington University,Huntington,IN,www.huntington.edu,2,3,32,40.89907,-85.499624,22,11,0.9711,499,505,480,23,23,22,NULL,1034,35059,24771,24771,0.8622,36500,30800,32000,32600,36500,0.4276,0.5724
Indiana University-Purdue University-Fort Wayne,Fort Wayne,IN,www.ipfw.edu,1,3,11,41.115418,-85.111747,18,12,0.9087,495,495,470,22,21,22,NULL,1002,18755,7949,19092,0.6843,38700,30300,33700,34500,37600,0.4595,0.5405
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,www.iupui.edu,1,3,11,39.772948,-86.172217,16,15,0.7049,495,505,480,22,22,22,7,1010,19875,8909,30089,0.7091,47300,40700,41100,43000,43500,0.4362,0.5638
University of Indianapolis,Indianapolis,IN,uindy.edu,2,3,11,39.709671,-86.134747,18,13,0.6648,500,510,490,22,22,22,NULL,1018,37238,25414,25414,0.7392,44100,36500,38400,40200,42500,0.3528,0.6472
Indiana Institute of Technology,Fort Wayne,IN,www.indianatech.edu,2,3,11,41.078338,-85.11795,29,12,0.7057,460,480,440,21,20,21,NULL,965,36187,24860,24860,0.5581,45700,38200,39600,42400,42800,0.3683,0.6317
University of Southern Indiana,Evansville,IN,www.usi.edu,1,3,22,37.966188,-87.67666,18,13,0.7134,495,500,475,22,21,21,NULL,1001,18469,6957,16297,0.7242,38100,31000,33300,34300,35900,0.3969,0.6031
Indiana State University,Terre Haute,IN,www.indstate.edu,1,3,13,39.46873,-87.407085,17,16,0.8254,460,455,435,19,19,20,7,913,19897,8416,18346,0.6448,39200,32400,34100,36700,37600,0.4619,0.5381
Indiana University-Kokomo,Kokomo,IN,www.iuk.edu,1,3,13,40.459913,-86.132096,22,9,0.6726,465,470,445,20,18,20,7,934,15652,6811,18081,0.637,37500,33400,36700,36800,36100,0.322,0.678
Indiana University-South Bend,South Bend,IN,https://iusb.edu/,1,3,12,41.665746,-86.222958,19,12,0.7333,470,470,450,20,20,20,7,942,16178,6905,18081,0.6585,36400,29500,32500,32300,34800,0.3855,0.6145
Indiana University-Bloomington,Bloomington,IN,www.iub.edu,1,3,13,39.166383,-86.526904,15,16,0.7609,575,600,565,27,28,27,8,1198,23716,10388,33241,0.8904,53500,39100,45000,48300,49900,0.4986,0.5014
Indiana University-Northwest,Gary,IN,www.iun.edu,1,3,13,41.556723,-87.338457,19,12,0.7678,450,455,440,20,19,20,7,916,14067,6854,18081,0.6657,39200,32000,35300,36000,37300,0.3144,0.6856
Indiana University-Southeast,New Albany,IN,https://ius.edu/,1,3,21,38.342992,-85.819376,18,12,0.8032,480,470,460,21,20,20,7,959,16428,6827,18081,0.6164,36500,31500,33700,35900,34800,0.4145,0.5855
Indiana University-East,Richmond,IN,www.iue.edu/,1,3,41,39.867099,-84.886187,20,9,0.6376,460,470,440,21,19,20,7,943,15743,6787,18081,0.6312,32900,28700,29700,29800,31800,0.3522,0.6478
International Business College-Fort Wayne,Fort Wayne,IN,www.ibcfortwayne.edu,3,3,11,41.035246,-85.25934,23,7,0.7839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22120,13880,13880,0.8824,27900,22900,25700,25500,26700,0.25,0.75
ITT Technical Institute-Indianapolis,Indianapolis,IN,www.itt-tech.edu,3,3,11,39.924786,-86.223038,23,9,0.9387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27245,16842,16842,0.4545,42800,33100,36700,38300,40000,0.5817,0.4183
Manchester University,North Manchester,IN,www.manchester.edu,2,3,32,41.011609,-85.758762,22,11,0.7428,490,505,NULL,22,21,22,NULL,1000,39325,29040,29040,0.6921,41100,32200,35100,37400,38200,0.4825,0.5175
Marian University,Indianapolis,IN,www.marian.edu,2,3,11,39.81534,-86.204599,19,10,0.5644,505,505,NULL,23,22,23,NULL,1036,39937,29400,29400,0.7425,43900,40000,41500,41000,41900,0.3627,0.6373
Indiana Wesleyan University-Marion,Marion,IN,www.indwes.edu,2,3,32,40.518495,-85.661991,18,17,0.9505,530,525,510,24,25,23,8,1081,34433,24102,24102,0.8412,52700,46100,49600,50500,50800,0.3256,0.6744
