INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Baker University,Baldwin City,KS,www.bakeru.edu,2,4,31,38.777278,-95.188231,18,10,0.6953,478,505,NULL,23,23,23,NULL,1059,39122,26370,26370,0.8,54100,44100,48500,52000,53100,0.4609,0.5391
Benedictine College,Atchison,KS,www.benedictine.edu,2,4,32,39.572953,-95.111424,22,11,0.9778,565,530,NULL,25,26,23,NULL,1120,37663,25100,25100,0.7733,45200,31100,33900,36400,41100,0.4798,0.5202
Bethany College,Lindsborg,KS,www.bethanylb.edu,2,4,33,38.5786,-97.673173,22,8,0.9745,435,470,410,21,20,21,NULL,969,35126,24390,24390,0.5967,42300,31200,34300,36900,40600,0.6138,0.3862
Bethel College-North Newton,North Newton,KS,www.bethelks.edu,2,4,32,38.07525,-97.342572,21,8,0.491,408,450,390,22,21,21,NULL,1000,35106,24200,24200,0.626,41400,33900,36100,39000,39500,0.4907,0.5093
Central Christian College of Kansas,McPherson,KS,www.centralchristian.edu,2,4,33,38.357964,-97.667373,22,11,0.4963,445,445,NULL,21,21,20,NULL,966,24696,16204,16204,0.5431,36400,28100,28000,32300,33800,0.5117,0.4883
Emporia State University,Emporia,KS,www.emporia.edu,1,4,33,38.414106,-96.18014,18,13,0.7649,448,508,396,22,21,22,7,1009,16205,5746,17896,0.726,37800,30700,33000,34900,37100,0.4038,0.5962
Fort Hays State University,Hays,KS,www.fhsu.edu,1,4,33,38.872436,-99.340493,18,12,0.8789,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15567,4469,13159,0.6756,40800,33700,36500,37200,38200,0.3961,0.6039
Barclay College,Haviland,KS,www.barclaycollege.edu,2,4,43,37.620691,-99.104027,24,8,0.5357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25790,14290,14290,0.6216,26600,PrivacySuppressed,28700,30200,31400,0.5175,0.4825
Friends University,Wichita,KS,www.friends.edu,2,4,11,37.678495,-97.366666,18,10,0.6138,505,520,NULL,22,22,22,NULL,1029,31952,24630,24630,0.6798,46300,39500,40700,41400,46100,0.466,0.534
University of Kansas,Lawrence,KS,www.ku.edu,1,4,13,38.958551,-95.247618,15,16,0.9142,NULL,NULL,NULL,25,26,25,NULL,1145,23049,10448,25731,0.8042,51900,41800,43900,48900,48400,0.5012,0.4988
Newman University,Wichita,KS,www.newmanu.edu,2,4,11,37.672306,-97.378803,19,10,0.5281,500,490,480,24,23,23,NULL,1076,31874,24800,24800,0.7195,45700,36200,41300,41200,43700,0.3494,0.6506
Kansas State University,Manhattan,KS,www.k-state.edu,1,4,13,39.188616,-96.581077,15,15,0.9493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20722,9034,22624,0.8324,48800,38000,41100,43500,46300,0.5222,0.4778
Kansas Wesleyan University,Salina,KS,www.kwu.edu,2,4,33,38.813923,-97.609476,22,8,0.6147,490,520,NULL,23,22,22,NULL,1059,36002,25200,25200,0.6291,38600,31700,36300,37100,38400,0.4572,0.5428
Manhattan Christian College,Manhattan,KS,www.mccks.edu,2,4,13,39.185764,-96.579018,24,7,0.5909,NULL,NULL,NULL,22,22,21,NULL,1030,26300,13642,13642,0.5972,40400,30600,32400,34100,34300,0.5363,0.4637
McPherson College,McPherson,KS,www.mcpherson.edu,2,4,33,38.371464,-97.6443,22,8,0.9928,475,510,NULL,22,21,21,NULL,1005,35312,24035,24035,0.5706,40800,31000,37100,37600,36600,0.6107,0.3893
MidAmerica Nazarene University,Olathe,KS,www.mnu.edu,2,4,21,38.872608,-94.782586,19,10,0.6899,435,430,NULL,22,23,22,NULL,1010,33252,24250,24250,0.6717,45700,38000,40700,43000,44000,0.4138,0.5862
Ottawa University-Ottawa,Ottawa,KS,www.ottawa.edu,2,4,32,38.602899,-95.263776,22,8,0.9947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36243,25154,25154,0.6319,44700,39900,42000,42200,44300,0.5963,0.4037
Pittsburg State University,Pittsburg,KS,www.pittstate.edu,1,4,32,37.3913,-94.704782,18,12,0.7919,NULL,NULL,NULL,22,22,21,NULL,1010,15931,6230,16336,0.7234,42600,35600,36700,38100,41100,0.5233,0.4767
University of Saint Mary,Leavenworth,KS,www.stmary.edu,2,4,31,39.277308,-94.906935,19,10,0.475,480,473,NULL,22,21,22,NULL,1002,33706,24450,24450,0.6923,41000,36000,33700,35100,41800,0.3468,0.6532
Southwestern College,Winfield,KS,www.sckans.edu,2,4,32,37.2493,-96.9783,19,6,0.8793,435,470,415,22,21,21,NULL,1007,37517,24835,24835,0.6641,52300,41000,45700,45100,49600,0.5831,0.4169
Sterling College,Sterling,KS,www.sterling.edu,2,4,42,38.219783,-98.209966,22,8,0.4437,465,465,470,21,21,21,7,978,30471,21950,21950,0.6331,32800,29100,30300,34200,33200,0.5292,0.4708
Tabor College,Hillsboro,KS,tabor.edu/,2,4,33,38.348606,-97.20096,22,8,0.8568,485,500,NULL,23,22,23,NULL,1037,36750,23900,23900,0.6101,44200,34300,38000,36600,37300,0.5042,0.4958
Wichita State University,Wichita,KS,www.wichita.edu,1,4,11,37.716484,-97.296733,16,15,0.9553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15367,7265,15299,0.7463,43100,36800,37800,39400,41600,0.4772,0.5228
