INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Alice Lloyd College,Pippa Passes,KY,www.alc.edu,2,5,43,37.335087,-82.875068,21,8,0.3617,455,485,430,22,22,20,7,1008,21391,10980,10980,0.7513,40800,28600,30300,31400,37700,0.4444,0.5556
Asbury University,Wilmore,KY,www.asbury.edu,2,5,31,37.862029,-84.662606,20,11,0.687,559,551,NULL,25,26,23,NULL,1135,34962,26868,26868,0.8137,35500,28400,30300,33000,34900,0.3996,0.6004
Bellarmine University,Louisville,KY,www.bellarmine.edu,2,5,21,38.219138,-85.7049,18,13,0.834,550,545,NULL,25,23,25,NULL,1120,49508,36290,36290,0.7967,49400,38900,44600,44800,47100,0.3537,0.6463
Berea College,Berea,KY,www.berea.edu,2,5,32,37.573334,-84.289332,21,11,0.3366,552,572,552,25,25,23,NULL,1125,31870,24270,24270,0.8413,36600,24900,29200,30000,35100,0.435,0.565
Brescia University,Owensboro,KY,www.brescia.edu,2,5,13,37.768989,-87.111533,22,7,0.4927,460,490,NULL,23,22,20,NULL,1039,27812,19990,19990,0.6623,39800,32900,32600,38400,37000,0.2612,0.7388
Campbellsville University,Campbellsville,KY,www.campbellsville.edu,2,5,32,37.343342,-85.348943,18,10,0.7272,455,454,439,21,20,20,NULL,964,32456,22842,22842,0.5759,35900,26300,28800,29900,33100,0.4535,0.5465
Centre College,Danville,KY,www.centre.edu,2,5,32,37.645102,-84.779175,21,11,0.7157,605,620,605,29,30,28,NULL,1263,47897,37100,37100,0.9019,50800,36300,36400,41000,47100,0.4822,0.5178
University of the Cumberlands,Williamsburg,KY,www.ucumberlands.edu,2,5,33,36.736489,-84.162375,17,14,0.6628,480,495,NULL,23,22,21,NULL,1038,33107,20000,20000,0.5984,33700,28300,30400,33000,34200,0.4664,0.5336
Eastern Kentucky University,Richmond,KY,www.eku.edu,1,5,32,37.740396,-84.301356,18,16,0.7387,490,490,460,22,22,21,7,1008,18181,7920,17448,0.7183,37300,30000,33000,33800,35700,0.4438,0.5562
Georgetown College,Georgetown,KY,www.georgetowncollege.edu,2,5,31,38.207934,-84.554583,21,11,0.8875,508,530,NULL,24,24,23,NULL,1102,43776,32960,32960,0.6667,45900,30000,36300,40100,44800,0.463,0.537
