INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Centenary College of Louisiana,Shreveport,LA,www.centenary.edu,2,5,12,32.483004,-93.731518,21,8,0.6567,530,520,NULL,25,25,23,NULL,1109,44596,33500,33500,0.8031,47200,32600,42100,43100,46800,0.4288,0.5712
Dillard University,New Orleans,LA,www.dillard.edu,2,5,11,29.996468,-90.065348,21,10,0.4059,440,430,NULL,19,19,18,NULL,886,26606,16252,16252,0.75,36100,26500,28100,31400,35700,0.2742,0.7258
Grambling State University,Grambling,LA,www.gram.edu,1,5,32,32.522702,-92.717367,18,14,0.4395,420,440,NULL,18,18,18,NULL,868,21692,6525,15744,0.6805,32800,24600,26600,28100,31900,0.404,0.596
Louisiana State University-Alexandria,Alexandria,LA,www.lsua.edu,1,5,41,31.178616,-92.414409,21,9,0.5455,455,485,420,21,22,20,NULL,987,15182,6009,12868,0.6419,35100,29800,32000,32200,34400,0.2972,0.7028
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,www.lsu.edu,1,5,12,30.414983,-91.178921,15,16,0.7663,550,570,NULL,26,27,25,NULL,1161,21846,8750,26467,0.8463,54300,42200,45800,50000,51800,0.4883,0.5117
Louisiana State University-Shreveport,Shreveport,LA,www.lsus.edu/,1,5,12,32.428768,-93.703762,19,9,0.7667,NULL,490,505,23,24,22,NULL,1050,15753,6168,6168,0.6617,39500,33000,35300,36900,38700,0.4038,0.5962
Louisiana College,Pineville,LA,www.lacollege.edu,2,5,23,31.322286,-92.425567,19,11,0.6106,NULL,NULL,NULL,21,21,20,NULL,990,22060,14570,14570,0.5434,43000,36900,39300,40500,42100,0.511,0.489
Louisiana Tech University,Ruston,LA,www.latech.edu,1,5,32,32.525518,-92.64964,17,12,0.6503,520,550,NULL,24,25,23,NULL,1104,17862,8052,22635,0.7985,47700,37300,40200,42900,44800,0.5732,0.4268
Loyola University New Orleans,New Orleans,LA,www.loyno.edu,2,5,11,29.936141,-90.120417,18,13,0.9025,575,545,NULL,25,27,23,NULL,1135,49791,36630,36630,0.7952,47800,35100,40300,43300,45600,0.4115,0.5885
McNeese State University,Lake Charles,LA,www.mcneese.edu,1,5,13,30.180762,-93.215648,18,12,0.7527,495,540,NULL,22,23,22,NULL,1030,15951,6334,17404,0.6975,43100,34200,36200,37800,40600,0.3858,0.6142
University of New Orleans,New Orleans,LA,www.uno.edu,1,5,11,30.028539,-90.068506,16,12,0.4357,565,585,NULL,23,24,23,NULL,1082,16889,7392,21002,0.6912,42000,32600,35400,36600,40500,0.4982,0.5018
Nicholls State University,Thibodaux,LA,www.nicholls.edu,1,5,13,29.792689,-90.802906,19,12,0.8837,500,555,455,22,21,20,NULL,1031,16954,7234,17481,0.6928,41200,36100,35100,37400,39200,0.3829,0.6171
University of Louisiana at Monroe,Monroe,LA,www.ulm.edu,1,5,13,32.527957,-92.073855,17,13,0.7722,NULL,555,490,22,23,21,NULL,1030,16310,6963,19121,0.7026,45200,35100,40100,41300,41000,0.3499,0.6501
Northwestern State University of Louisiana,Natchitoches,LA,www.nsula.edu/,1,5,33,31.750675,-93.097715,18,12,0.7298,490,500,NULL,22,23,21,NULL,1027,17659,6863,17651,0.6843,38500,33100,33000,34300,38300,0.3147,0.6853
University of Holy Cross,New Orleans,LA,www.olhcc.edu,2,5,11,29.912539,-89.997055,22,6,0.5618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15775,10310,10310,0.7222,43900,40500,41400,37100,41500,0.1348,0.8652
Our Lady of the Lake College,Baton Rouge,LA,www.ololcollege.edu,2,5,12,30.40019,-91.110471,26,9,0.726,NULL,NULL,NULL,22,23,21,NULL,1010,23323,11144,11144,0.5234,45800,43500,45300,44600,45300,0.1154,0.8846
Southeastern Louisiana University,Hammond,LA,www.southeastern.edu,1,5,13,30.51358,-90.468558,18,15,0.8373,NULL,NULL,NULL,22,23,21,NULL,1030,16136,6547,19111,0.6209,39200,32500,34200,36500,37600,0.3827,0.6173
Southern University and A & M College,Baton Rouge,LA,www.subr.edu,1,5,12,30.524558,-91.190105,18,13,0.5365,NULL,470,NULL,19,19,19,NULL,910,18882,6630,8274,0.6982,37200,28900,31000,32800,34700,0.355,0.645
Southern University at New Orleans,New Orleans,LA,www.suno.edu,1,5,11,30.02669,-90.044379,19,10,0.207,445,390,410,17,17,17,NULL,806,10300,5218,6517,0.5556,31600,23300,27100,27500,29900,0.2461,0.7539
University of Louisiana at Lafayette,Lafayette,LA,www.louisiana.edu,1,5,12,30.215283,-92.01941,16,15,0.558,530,540,NULL,23,24,23,NULL,1070,16112,6872,19272,0.763,42900,34500,36100,39600,41400,0.4443,0.5557
Tulane University of Louisiana,New Orleans,LA,tulane.edu,2,5,11,29.939696,-90.120409,15,16,0.2795,660,660,680,31,32,30,NULL,1342,61055,48305,48305,0.9223,68300,52000,59400,67600,63800,0.4236,0.5764
Xavier University of Louisiana,New Orleans,LA,www.xula.edu,2,5,11,29.964162,-90.107307,20,10,0.6599,500,505,480,23,23,21,NULL,1039,29988,21552,21552,0.7077,59800,46200,57200,57500,58100,0.2702,0.7298
Remington College-Shreveport Campus,Shreveport,LA,www.remingtoncollege.edu/shreveport-career-school-overview,2,5,12,32.403166,-93.793578,32,6,0.7891,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26864,15995,15995,0.5926,23100,18500,20400,21200,24300,0.2577,0.7423
