INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
American International College,Springfield,MA,www.aic.edu,2,1,12,42.112708,-72.558507,17,10,0.6757,438,443,420,20,NULL,NULL,NULL,887,42762,30940,30940,0.689,43300,37300,37900,41700,44200,0.4141,0.5859
Amherst College,Amherst,MA,www.amherst.edu,2,1,21,42.372459,-72.518493,21,11,0.1384,724,725,720,32,33,31,NULL,1439,61544,48526,48526,0.985,85900,44700,66700,62100,81600,0.5173,0.4827
Anna Maria College,Paxton,MA,www.annamaria.edu,2,1,41,42.33055,-71.918961,19,10,0.7757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45599,34060,34060,0.6612,44100,35700,36100,40200,44000,0.4016,0.5984
Assumption College,Worcester,MA,www.assumption.edu,2,1,12,42.295435,-71.828387,19,11,0.813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47428,36160,36160,0.8287,57500,40000,45700,50300,53700,0.4036,0.5964
Babson College,Wellesley,MA,www.babson.edu,2,1,21,42.296529,-71.269479,29,11,0.2631,615,660,625,28,29,29,NULL,1272,60494,45120,45120,0.9448,105700,70200,76400,84900,96900,0.5316,0.4684
Bay Path University,Longmeadow,MA,www.baypath.edu,2,1,21,42.055364,-72.583974,18,11,0.6305,482,470,475,20,19,20,10,951,41344,30859,30859,0.7721,42900,36800,38900,39100,43700,0,1
Bay State College,Boston,MA,www.baystate.edu,3,1,11,42.351965,-71.076956,23,6,0.5041,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34570,20324,20324,0.8889,30900,26500,28700,30200,32300,0.3403,0.6597
Becker College,Worcester,MA,www.becker.edu,2,1,12,42.26918,-71.811895,22,10,0.6247,505,500,NULL,23,23,22,NULL,1015,45609,32870,32870,0.6667,41800,36200,39500,42200,38200,0.4203,0.5797
Bentley University,Waltham,MA,www.bentley.edu,2,1,13,42.388798,-71.220148,18,14,0.4611,590,650,600,28,NULL,NULL,NULL,1247,56768,42511,42511,0.9394,85200,59800,65300,75600,74800,0.6002,0.3998
Berklee College of Music,Boston,MA,www.berklee.edu,2,1,11,42.346895,-71.08703,30,12,0.4038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58249,38910,38910,0.8359,36700,24800,28400,32200,34600,0.6802,0.3198
Boston College,Chestnut Hill,MA,www.bc.edu,2,1,13,42.337688,-71.171488,15,17,0.3391,675,690,685,32,32,31,9,1380,60690,47436,47436,0.9605,85600,64800,72500,77600,79300,0.4633,0.5367
The Boston Conservatory,Boston,MA,www.bostonconservatory.edu,2,1,11,42.346933,-71.090502,30,7,0.3904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60057,42326,42326,0.8947,35900,28600,27900,29400,31400,0.3802,0.6198
Boston University,Boston,MA,www.bu.edu,2,1,11,42.349581,-71.09984,15,17,0.3451,625,675,645,29,30,29,9,1300,61396,46664,46664,0.935,69500,48500,54700,59800,63600,0.391,0.609
Brandeis University,Waltham,MA,www.brandeis.edu/,2,1,13,42.364947,-71.254716,15,14,0.3522,650,715,675,31,32,31,9,1369,61023,47558,47558,0.9314,67600,41300,49100,53300,64700,0.4293,0.5707
Bridgewater State University,Bridgewater,MA,www.bridgew.edu,1,1,21,41.987785,-70.966058,18,13,0.7931,490,500,NULL,22,NULL,NULL,NULL,991,19877,8353,14493,0.8132,43700,34500,37400,39800,41500,0.4117,0.5883
Clark University,Worcester,MA,www.clarku.edu,2,1,12,42.251064,-71.823537,17,14,0.5403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48366,40730,40730,0.8795,47300,33500,39500,43400,46600,0.4118,0.5882
Curry College,Milton,MA,www.curry.edu,2,1,21,42.240616,-71.114007,19,10,0.8688,475,475,NULL,20,20,20,NULL,948,48778,35725,35725,0.7109,50400,39100,43400,44400,48500,0.3683,0.6317
Dean College,Franklin,MA,www.dean.edu,2,1,21,42.08497,-71.399003,23,11,0.6866,440,420,NULL,18,16,16,NULL,857,47892,34390,34390,0.6968,35600,26300,30400,31200,35400,0.4825,0.5175
Eastern Nazarene College,Quincy,MA,www.enc.edu,2,1,21,42.271214,-71.011238,20,11,0.5287,465,460,440,19,18,20,7,918,37563,29012,29012,0.7152,48900,35400,39200,39900,46300,0.3283,0.6717
Emerson College,Boston,MA,www.emerson.edu,2,1,11,42.35532,-71.074037,18,14,0.4918,630,605,625,28,28,26,9,1244,53499,37350,37350,0.891,49000,33900,37500,41800,46100,0.3875,0.6125
Emmanuel College,Boston,MA,www.emmanuel.edu,2,1,11,42.341191,-71.103038,21,11,0.693,550,540,550,24,NULL,NULL,NULL,1093,51082,35532,35532,0.7864,48300,37400,41700,46000,43900,0.2669,0.7331
Endicott College,Beverly,MA,www.endicott.edu,2,1,21,42.554177,-70.840729,18,14,0.7315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45323,29494,29494,0.8347,50100,41500,43400,47300,45400,0.3768,0.6232
Fisher College,Boston,MA,www.fisher.edu,2,1,11,42.355253,-71.074125,23,9,0.6557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41718,28260,28260,0.5963,32400,29700,29800,33400,31900,0.298,0.702
