INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
University of Baltimore,Baltimore,MD,www.ubalt.edu,1,2,11,39.305834,-76.616591,18,12,0.6204,470,450,455,NULL,NULL,NULL,NULL,920,21225,8018,18396,0.7881,60800,53200,52100,54100,59200,0.4274,0.5726
Bowie State University,Bowie,MD,www.bowiestate.edu,1,2,21,39.018185,-76.759721,18,13,0.5506,445,430,425,17,16,16,7,867,19456,7299,17875,0.7408,51200,34200,43000,42700,49700,0.3858,0.6142
Capitol Technology University,Laurel,MD,www.captechu.edu,2,2,21,39.047047,-76.851413,27,6,0.705,530,570,NULL,21,21,23,NULL,1075,31864,22896,22896,0.7451,67100,51000,57900,58800,59900,0.8153,0.1847
Washington Adventist University,Takoma Park,MD,www.wau.edu,2,2,21,38.987206,-77.00131,19,8,0.4492,420,420,420,20,20,19,NULL,854,29547,21395,21395,0.5952,48400,39100,47000,41500,51500,0.3873,0.6127
Coppin State University,Baltimore,MD,www.coppin.edu,1,2,11,39.310786,-76.658547,20,10,0.4312,435,445,NULL,NULL,NULL,NULL,NULL,880,15837,6624,11885,0.6856,38000,32000,34500,36200,38900,0.2726,0.7274
Frostburg State University,Frostburg,MD,www.frostburg.edu,1,2,23,39.651509,-78.933871,18,13,0.5851,490,485,470,20,19,20,7,967,20046,7982,19274,0.748,45400,32700,38600,39100,44300,0.4902,0.5098
Goucher College,Baltimore,MD,www.goucher.edu,2,2,13,39.410175,-76.594843,21,11,0.7569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52462,40558,40558,0.7681,50200,29800,38600,42400,45700,0.3288,0.6712
Hood College,Frederick,MD,www.hood.edu,2,2,13,39.421908,-77.419282,18,11,0.8069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46747,34120,34120,0.7616,46200,34100,40400,41400,44700,0.3737,0.6263
Johns Hopkins University,Baltimore,MD,www.jhu.edu,2,2,11,39.32838,-76.620799,15,17,0.1608,705,730,715,33,33,33,9,1439,61481,47060,47060,0.9668,79900,65200,69300,73700,79700,0.4913,0.5087
Loyola University Maryland,Baltimore,MD,www.loyola.edu,2,2,11,39.346044,-76.623417,18,14,0.5963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57775,44090,44090,0.8659,73300,47300,57600,61700,67300,0.4178,0.5822
University of Maryland-Baltimore County,Baltimore,MD,www.umbc.edu,1,2,21,39.256686,-76.711607,16,16,0.5961,590,620,585,27,NULL,NULL,NULL,1213,21941,10384,22682,0.8905,59300,41700,47600,49700,55500,0.5492,0.4508
University of Maryland-College Park,College Park,MD,www.umd.edu,1,2,21,38.985379,-76.939494,15,16,0.4793,640,675,NULL,NULL,NULL,NULL,NULL,1315,23258,9427,29720,0.9571,67200,47600,55000,57500,62800,0.5356,0.4644
Maryland Institute College of Art,Baltimore,MD,www.mica.edu,2,2,11,39.308792,-76.621033,30,11,0.5416,595,570,585,NULL,NULL,NULL,NULL,1165,54684,42390,42390,0.8775,36900,28300,30800,33000,32900,0.2774,0.7226
University of Maryland Eastern Shore,Princess Anne,MD,www.umes.edu,1,2,31,38.211188,-75.687227,17,14,0.6127,430,415,415,17,17,17,7,842,21472,7287,16311,0.7285,39600,28800,33500,34800,39500,0.4531,0.5469
Morgan State University,Baltimore,MD,www.morgan.edu,1,2,11,39.344235,-76.584238,17,13,0.6525,440,440,NULL,18,17,17,NULL,874,21666,7378,16862,0.7528,40900,28600,33500,35200,41900,0.4486,0.5514
Mount St Mary's University,Emmitsburg,MD,www.msmary.edu,2,2,31,39.680632,-77.35222,19,11,0.6687,530,520,515,22,21,21,NULL,1048,48273,36021,36021,0.7949,54600,40600,46100,48600,53300,0.4413,0.5587
Notre Dame of Maryland University,Baltimore,MD,www.ndm.edu,2,2,11,39.351307,-76.619701,18,9,0.4946,520,515,NULL,25,NULL,NULL,NULL,1048,42859,33010,33010,0.8462,50600,41000,46200,49100,48900,0.0494,0.9506
Salisbury University,Salisbury,MD,www.salisbury.edu,1,2,23,38.345447,-75.605705,18,13,0.5469,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21784,8560,16906,0.8243,50000,37700,43200,45500,48800,0.4284,0.5716
St Mary's College of Maryland,St. Mary's City,MD,www.smcm.edu,1,2,23,38.188615,-76.425706,21,11,0.7887,612,582,578,26,25,27,NULL,1188,29172,13824,28674,0.8538,51000,35300,41400,45200,51000,0.4371,0.5629
St John's College,Annapolis,MD,www.sjc.edu,2,2,21,38.981513,-76.491397,21,8,0.8696,700,625,660,30,31,27,NULL,1323,58321,47726,47726,0.8607,42500,28400,33000,39200,37800,0.5548,0.4452
Towson University,Towson,MD,www.towson.edu,1,2,13,39.393008,-76.612268,18,16,0.5921,540,545,535,23,23,23,8,1082,21973,8590,20268,0.855,53300,40000,45300,46900,51200,0.3955,0.6045
Stevenson University,Stevenson,MD,www.stevenson.edu,2,2,41,39.421264,-76.701247,19,13,0.6231,495,500,495,21,20,21,NULL,990,41569,28980,28980,0.7939,52800,39900,46400,46700,54500,0.3473,0.6527
Washington College,Chestertown,MD,www.washcoll.edu,2,2,32,39.217329,-76.06878,21,11,0.5566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54067,42592,42592,0.8481,49700,36600,41800,46700,50500,0.4247,0.5753
