INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
College of the Atlantic,Bar Harbor,ME,www.coa.edu,2,1,33,44.399584,-68.228849,21,7,0.711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49890,40491,40491,0.8058,32600,24400,23400,22400,29500,0.2959,0.7041
Bates College,Lewiston,ME,www.bates.edu/,2,1,13,44.105299,-70.203333,21,11,0.2542,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61000,47030,47030,0.946,62000,41200,50400,59000,57500,0.4958,0.5042
Bowdoin College,Brunswick,ME,www.bowdoin.edu/,2,1,31,43.906902,-69.965241,21,11,0.1491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59900,46808,46808,0.9779,68600,44000,55600,63300,63300,0.5008,0.4992
Colby College,Waterville,ME,www.colby.edu,2,1,33,44.564211,-69.66337,21,11,0.2805,660,670,670,30,31,30,NULL,1333,59110,47350,47350,0.9234,68500,44700,49500,55500,59800,0.4705,0.5295
Husson University,Bangor,ME,www.husson.edu,2,1,13,44.828888,-68.791323,19,10,0.7195,475,480,470,19,19,20,7,951,25620,16097,16097,0.7698,40800,31500,36100,38300,39700,0.4655,0.5345
University of Maine at Farmington,Farmington,ME,www.umf.maine.edu,1,1,33,44.668,-70.147469,22,11,0.8455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20989,9217,18305,0.7466,34700,26800,29200,31500,33300,0.3498,0.6502
University of Maine at Fort Kent,Fort Kent,ME,www.umfk.maine.edu,1,1,43,47.250306,-68.588364,22,6,0.7461,450,450,420,18,18,19,NULL,899,17932,7575,10875,0.6423,33900,33500,31500,32000,33400,0.2992,0.7008
University of Maine,Orono,ME,www.umaine.edu/,1,1,23,44.895129,-68.67358,16,13,0.8257,535,540,515,24,NULL,NULL,NULL,1078,22193,10606,28486,0.7683,44600,35800,38200,41000,41900,0.5255,0.4745
Maine Maritime Academy,Castine,ME,www.mainemaritime.edu,1,1,42,44.3873,-68.803214,22,11,0.7863,500,525,480,22,21,23,NULL,1024,23940,12400,24040,0.7838,91700,76600,79400,88500,77400,0.8691,0.1309
University of New England,Biddeford,ME,www.une.edu/,2,1,22,43.458172,-70.385882,18,14,0.8568,530,535,523,24,24,23,NULL,1073,49671,34080,34080,0.7952,51600,37400,47900,44500,48100,0.2954,0.7046
Maine College of Art,Portland,ME,www.meca.edu,2,1,13,43.653672,-70.26195,30,8,0.9733,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44429,31670,31670,0.7476,32800,21300,25700,26500,28500,0.2684,0.7316
Saint Joseph's College of Maine,Standish,ME,www.sjcme.edu,2,1,41,43.82651,-70.483486,18,10,0.7853,480,485,470,NULL,NULL,NULL,NULL,965,44825,31920,31920,0.7697,43600,38700,38900,39500,41300,0.2834,0.7166
University of Southern Maine,Portland,ME,www.usm.maine.edu,1,1,13,43.662637,-70.276002,18,12,0.8395,500,495,475,22,21,20,NULL,998,22083,7796,18508,0.6522,41400,33500,36300,38000,38200,0.4306,0.5694
Thomas College,Waterville,ME,www.thomas.edu,2,1,41,44.524046,-69.662923,20,11,0.7428,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34202,23460,23460,0.6732,37900,31200,33700,35300,38700,0.4877,0.5123
Unity College,Unity,ME,https://www.unity.edu,2,1,43,44.603165,-69.332276,22,8,0.931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35580,25820,25820,0.7397,36200,28400,30600,32100,36300,0.4821,0.5179
