INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Adrian College,Adrian,MI,www.adrian.edu,2,3,32,41.898449,-84.059947,22,11,0.6189,500,490,500,22,21,22,NULL,1009,43341,32660,32660,0.6009,40300,32000,32700,35200,37500,0.5248,0.4752
Albion College,Albion,MI,www.albion.edu,2,3,31,42.244603,-84.746088,21,11,0.6079,550,580,535,25,24,24,NULL,1125,48073,37485,37485,0.8353,50100,36800,43800,44200,47200,0.5052,0.4948
Alma College,Alma,MI,alma.edu,2,3,32,43.379236,-84.670073,21,11,0.7198,519,504,504,24,23,24,8,1101,44636,34220,34220,0.7893,50100,33100,38700,38100,47100,0.4545,0.5455
Andrews University,Berrien Springs,MI,www.andrews.edu,2,3,31,41.962914,-86.356866,17,11,0.3688,540,535,520,24,22,25,7,1081,35017,26256,26256,0.785,40500,34200,36300,37200,38900,0.4383,0.5617
Aquinas College,Grand Rapids,MI,www.aquinas.edu,2,3,12,42.960449,-85.626166,20,10,0.6509,NULL,NULL,NULL,24,24,23,NULL,1090,37132,27906,27906,0.7846,39100,29300,35000,34100,38800,0.387,0.613
Calvin College,Grand Rapids,MI,www.calvin.edu,2,3,12,42.929916,-85.587548,22,14,0.7314,580,595,NULL,26,27,26,NULL,1182,40694,29635,29635,0.8738,44600,34400,38900,40900,42300,0.4507,0.5493
Central Michigan University,Mount Pleasant,MI,www.cmich.edu,1,3,32,43.591137,-84.775275,16,16,0.6927,519,532,NULL,23,23,22,NULL,1050,21828,11550,23670,0.7642,44000,33500,36600,38800,42100,0.4382,0.5618
Cleary University,Howell,MI,www.cleary.edu,2,3,22,42.586573,-83.881516,29,6,0.7929,NULL,NULL,NULL,21,20,20,7,990,18625,19200,19200,0.7209,53400,45100,50000,53600,54500,0.4749,0.5251
College for Creative Studies,Detroit,MI,www.collegeforcreativestudies.edu,2,3,11,42.361839,-83.062352,30,10,0.4561,NULL,NULL,NULL,22,NULL,NULL,NULL,1010,48413,37092,37092,0.8211,43300,34300,35600,41500,40900,0.5015,0.4985
Davenport University,Grand Rapids,MI,www.davenport.edu,2,3,21,42.849713,-85.529655,18,12,0.9338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25082,15072,15072,0.7276,33300,29200,29600,31400,33100,0.3855,0.6145
University of Detroit Mercy,Detroit,MI,www.udmercy.edu,2,3,11,42.417168,-83.138369,18,13,0.6906,534,587,NULL,24,24,24,NULL,1110,49617,37320,37320,0.8106,49700,44600,44600,46700,44600,0.3448,0.6552
Eastern Michigan University,Ypsilanti,MI,www.emich.edu,1,3,21,42.245751,-83.624499,17,16,0.6887,490,505,NULL,22,22,22,NULL,1028,19532,9663,25706,0.7251,40300,33000,34700,37200,38900,0.4129,0.5871
Ferris State University,Big Rapids,MI,www.ferris.edu/,1,3,32,43.687464,-85.483509,19,16,0.7842,NULL,NULL,NULL,22,21,22,NULL,1010,21215,10677,16467,0.7188,45500,38200,40100,43300,42600,0.4841,0.5159
Kettering University,Flint,MI,WWW.KETTERING.EDU,2,3,12,43.013112,-83.714356,19,10,0.7164,585,625,NULL,27,26,28,NULL,1223,51277,36980,36980,0.9173,74900,63000,61300,67000,70400,0.8159,0.1841
Grace Bible College,Wyoming,MI,www.gbcol.edu,2,3,13,42.919541,-85.692077,23,8,0.7143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20621,12239,12239,0.6778,28800,26200,27800,28300,29100,0.4978,0.5022
Cornerstone University,Grand Rapids,MI,www.cornerstone.edu,2,3,12,42.979044,-85.595602,18,10,0.6884,536,522,490,23,23,22,NULL,1051,34889,25112,25112,0.755,38900,32400,34100,35200,38400,0.3891,0.6109
Grand Valley State University,Allendale,MI,www.gvsu.edu,1,3,21,42.965208,-85.887519,18,16,0.8043,520,553,525,24,24,23,8,1089,21907,10752,15408,0.8319,43000,34500,37500,40300,40400,0.4157,0.5843
Hope College,Holland,MI,www.hope.edu,2,3,13,42.788052,-86.105376,21,14,0.7741,595,590,NULL,26,27,26,NULL,1185,39856,29560,29560,0.9063,47200,34200,37500,41900,45100,0.3958,0.6042
Kalamazoo College,Kalamazoo,MI,www.kzoo.edu,2,3,13,42.290382,-85.601317,21,11,0.6965,604,620,600,28,28,27,11,1239,50800,41161,41161,0.9161,55200,32900,40200,43500,51200,0.4354,0.5646
Lake Superior State University,Sault Ste Marie,MI,www.lssu.edu,1,3,33,46.491736,-84.3655,22,10,0.9109,465,505,460,22,22,22,NULL,1028,19524,10253,15317,0.7462,38600,31000,34200,36500,37100,0.4867,0.5133
Lawrence Technological University,Southfield,MI,www.ltu.edu,2,3,13,42.474072,-83.25003,18,9,0.5742,540,595,515,25,24,25,NULL,1127,41064,30200,30200,0.8239,57400,43600,45300,51000,53000,0.7613,0.2387
Madonna University,Livonia,MI,www.madonna.edu,2,3,13,42.386463,-83.407306,18,9,0.5859,510,515,465,23,23,21,8,1049,24763,17390,17390,0.798,41500,36800,39100,38600,39600,0.3126,0.6874
Marygrove College,Detroit,MI,www.marygrove.edu,2,3,11,42.414415,-83.154109,18,9,0.4842,NULL,NULL,NULL,17,16,17,7,800,27622,20336,20336,0.4294,30600,25700,30700,28500,30300,0.2951,0.7049
Rochester College,Rochester Hills,MI,www.rc.edu,2,3,21,42.667521,-83.144959,22,6,0.4059,552,476,NULL,21,21,20,NULL,972,26820,20486,20486,0.6533,38700,29200,32800,33600,37100,0.417,0.583
University of Michigan-Ann Arbor,Ann Arbor,MI,www.umich.edu,1,3,12,42.276061,-83.743121,15,16,0.3224,670,710,670,31,32,30,9,1380,26143,13486,41906,0.9722,71000,56200,61500,65800,67700,0.5084,0.4916
Michigan State University,East Lansing,MI,www.msu.edu,1,3,13,42.73212,-84.476111,15,16,0.6609,505,615,515,26,26,26,9,1158,24323,13200,34965,0.9162,58700,41400,47300,51700,54300,0.4975,0.5025
Michigan Technological University,Houghton,MI,www.mtu.edu,1,3,33,47.1183,-88.546403,16,13,0.755,602,625,566,28,27,28,NULL,1244,25360,14040,29520,0.8506,63200,48900,53400,56800,58200,0.7477,0.2523
University of Michigan-Dearborn,Dearborn,MI,www.umd.umich.edu/,1,3,13,42.317287,-83.231417,18,12,0.6267,NULL,591,NULL,24,25,24,NULL,1105,17766,10952,23150,0.8007,51400,38600,43300,46400,49000,0.508,0.492
University of Michigan-Flint,Flint,MI,www.umflint.edu,1,3,12,43.018777,-83.688474,18,12,0.7864,526,602,542,21,21,21,NULL,993,19079,9694,18922,0.7173,43300,36500,36500,39100,41700,0.4006,0.5994
Northern Michigan University,Marquette,MI,www.nmu.edu,1,3,33,46.558037,-87.403857,19,13,0.7209,NULL,NULL,NULL,22,21,21,NULL,1010,18865,9324,14556,0.7273,38200,29500,32000,33700,36400,0.4628,0.5372
Northwood University-Michigan,Midland,MI,www.northwood.edu,2,3,13,43.628996,-84.276276,29,10,0.6947,455,465,NULL,22,21,21,NULL,1004,34733,23132,23132,0.7797,48300,43400,42600,46400,47500,0.5648,0.4352
Oakland University,Rochester Hills,MI,www.oakland.edu,1,3,21,42.67449,-83.220523,17,15,0.67,NULL,NULL,NULL,23,23,23,NULL,1070,19385,10613,23873,0.7816,46900,37300,38900,40600,43500,0.418,0.582
Olivet College,Olivet,MI,www.olivetcollege.edu,2,3,42,42.440908,-84.922864,22,8,0.6143,465,450,NULL,21,19,21,NULL,917,33155,23800,23800,0.5942,36900,30300,30600,34000,33700,0.6095,0.3905
