INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Augsburg College,Minneapolis,MN,www.augsburg.edu,2,4,11,44.965636,-93.241418,18,10,0.6802,595,558,NULL,23,22,22,7,1074,44986,34431,34431,0.7495,50100,40700,43000,44000,47200,0.4655,0.5345
Bemidji State University,Bemidji,MN,www.bemidjistate.edu,1,4,33,47.482505,-94.874529,20,13,0.9353,NULL,NULL,NULL,22,20,21,NULL,1010,18549,8134,8134,0.6801,41100,33200,35200,37200,38300,0.4421,0.5579
Bethany Lutheran College,Mankato,MN,www.blc.edu,2,4,13,44.166485,-93.990744,21,8,0.7768,NULL,NULL,NULL,23,23,22,NULL,1070,33417,24450,24450,0.7123,37600,30400,30600,31400,34600,0.4811,0.5189
Bethel University,Saint Paul,MN,https://www.bethel.edu,2,4,21,45.057091,-93.159295,18,14,0.9543,585,580,NULL,25,25,24,NULL,1146,43974,32990,32990,0.8344,50500,41700,44600,46000,47100,0.3787,0.6213
Carleton College,Northfield,MN,www.carleton.edu,2,4,32,44.462304,-93.154662,21,11,0.2277,705,710,700,32,NULL,NULL,NULL,1408,60401,47736,47736,0.9677,59300,40300,47500,52100,53400,0.474,0.526
Concordia College at Moorhead,Moorhead,MN,www.concordiacollege.edu,2,4,22,46.859423,-96.765567,21,11,0.6428,617,640,627,26,26,26,7,1166,42829,34114,34114,0.826,47900,36500,39800,40600,43500,0.4046,0.5954
Concordia University-Saint Paul,Saint Paul,MN,www.csp.edu,2,4,11,44.9502,-93.154971,18,12,0.5324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28984,20250,20250,0.6904,55500,42900,47700,48300,52000,0.4241,0.5759
Martin Luther College,New Ulm,MN,www.mlc-wels.edu,2,4,32,44.3046,-94.473422,32,8,0.9732,NULL,NULL,NULL,25,25,25,7,1125,21524,12920,12920,0.8037,38000,28500,32800,34800,36600,0.4731,0.5269
Gustavus Adolphus College,Saint Peter,MN,WWW.GUSTAVUS.EDU,2,4,31,44.324968,-93.971928,21,11,0.6107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50008,40400,40400,0.9059,57700,38800,42500,47600,51900,0.4578,0.5422
Hamline University,Saint Paul,MN,www.hamline.edu,2,4,11,44.965696,-93.163983,18,13,0.6959,540,530,540,24,25,24,NULL,1101,44883,36270,36270,0.8315,52100,40100,45700,47700,48800,0.4223,0.5777
Macalester College,Saint Paul,MN,www.macalester.edu,2,4,11,44.936709,-93.169855,21,11,0.3635,685,683,680,30,32,30,9,1354,57478,47195,47195,0.9441,54200,31500,40900,43500,46700,0.3965,0.6035
Minnesota State University-Mankato,Mankato,MN,www.mnsu.edu,1,4,13,44.147253,-93.998494,18,15,0.6658,NULL,NULL,NULL,22,22,22,NULL,1010,17355,7574,15053,0.7344,45700,36500,39000,41200,43200,0.4889,0.5111
University of Minnesota-Twin Cities,Minneapolis,MN,www1.umn.edu/twincities/index.php,1,4,11,44.977886,-93.235352,15,15,0.4535,625,685,625,28,28,28,9,1271,24551,13560,20810,0.9245,55100,43700,46500,49900,51300,0.4906,0.5094
University of Minnesota-Crookston,Crookston,MN,www1.crk.umn.edu/,1,4,32,47.802021,-96.609863,22,10,0.7196,455,490,430,22,20,22,7,1006,22394,11468,11468,0.66,44100,36900,38800,42000,41700,0.4984,0.5016
Minneapolis College of Art and Design,Minneapolis,MN,MCAD.EDU,2,4,11,44.956988,-93.274694,30,7,0.6441,565,515,535,24,24,22,NULL,1088,42990,34146,34146,0.8348,39600,28800,30200,33200,36200,0.3435,0.6565
University of Minnesota-Duluth,Duluth,MN,www.d.umn.edu/,1,4,13,46.818896,-92.085177,18,16,0.7678,545,575,520,24,23,25,8,1110,23153,12802,16467,0.7706,52000,37500,41500,45300,47300,0.5524,0.4476
University of Minnesota-Morris,Morris,MN,www.morris.umn.edu/,1,4,33,45.589829,-95.901756,21,11,0.6359,605,580,535,25,25,25,7,1148,23135,12583,12583,0.7885,42500,31100,35300,36500,40700,0.4598,0.5402
Minnesota State University Moorhead,Moorhead,MN,www.mnstate.edu,1,4,22,46.866482,-96.763376,19,13,0.8419,483,525,NULL,23,22,22,NULL,1049,18680,7816,14714,0.7066,41000,34000,35000,38500,38500,0.3945,0.6055
North Central University,Minneapolis,MN,www.northcentral.edu,2,4,11,44.969389,-93.261429,22,8,0.912,500,480,NULL,23,23,22,NULL,1062,30203,20776,20776,0.687,34100,27300,28700,31000,31500,0.3578,0.6422
University of Northwestern-St Paul,Saint Paul,MN,www.unwsp.edu,2,4,21,45.032969,-93.171579,20,11,0.6954,605,575,NULL,24,25,24,NULL,1110,39702,28726,28726,0.8017,39900,34100,34200,35700,37600,0.418,0.582
Oak Hills Christian College,Bemidji,MN,www.oakhills.edu,2,4,33,47.425836,-94.901701,24,8,0.6667,500,390,440,21,20,21,9,964,26034,15759,15759,0.7143,29500,23400,22900,24500,26800,0.4839,0.5161
College of Saint Benedict,Saint Joseph,MN,www.csbsju.edu,2,4,22,45.558609,-94.31902,21,11,0.8218,573,548,560,26,26,26,8,1179,49920,39402,39402,0.881,50100,39400,43900,48200,48200,0,1
Saint Cloud State University,Saint Cloud,MN,www.stcloudstate.edu,1,4,13,45.552418,-94.153,18,15,0.8219,NULL,NULL,NULL,22,20,22,NULL,1010,18142,7553,15195,0.7269,44900,35600,39100,41500,42600,0.4972,0.5028
Saint Johns University,Collegeville,MN,www.csbsju.edu,2,4,41,45.580538,-94.39268,21,11,0.7876,548,543,525,26,24,26,7,1155,48520,38704,38704,0.8773,62100,44900,49400,54800,60300,1,0
Saint Mary's University of Minnesota,Winona,MN,www.smumn.edu,2,4,32,44.045322,-91.696652,18,13,0.7424,517,523,512,23,23,23,NULL,1067,39736,30315,30315,0.785,47300,36000,40100,43300,44700,0.4637,0.5363
St Olaf College,Northfield,MN,wp.stolaf.edu,2,4,32,44.462884,-93.183633,21,14,0.5128,630,630,NULL,29,31,29,NULL,1292,51860,41700,41700,0.9269,50800,36700,40100,45100,47400,0.4211,0.5789
