INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Avila University,Kansas City,MO,www.Avila.edu,2,4,11,38.912159,-94.591387,19,9,0.5198,440,480,NULL,23,22,22,NULL,1038,36178,25700,25700,0.7088,42800,34900,40700,40700,43200,0.3649,0.6351
Cox College,Springfield,MO,www.coxcollege.edu,2,4,12,37.225116,-93.290233,26,6,0.5455,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18972,10150,10150,0.2857,39900,38900,37900,38500,41800,0.1344,0.8656
Central Christian College of the Bible,Moberly,MO,www.cccb.edu,2,4,32,39.395963,-92.427259,24,8,0.424,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24213,11700,11700,0.7708,31400,22400,27300,27800,29500,0.5087,0.4913
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,www.centralmethodist.edu/,2,4,32,39.150534,-92.685276,22,11,0.6053,510,540,505,23,21,22,NULL,1050,32970,21830,21830,0.6392,36000,32100,32900,34500,33800,0.4834,0.5166
University of Central Missouri,Warrensburg,MO,www.ucmo.edu,1,4,32,38.755882,-93.737445,18,16,0.7795,NULL,NULL,NULL,22,21,21,NULL,1010,18112,7265,13659,0.6974,41100,31900,35200,36500,38900,0.4495,0.5505
Cottey College,Nevada,MO,www.cottey.edu,2,4,33,37.836127,-94.371311,23,8,0.7063,525,475,510,22,22,20,NULL,1019,29170,19300,19300,0.6613,33500,24400,26900,29500,30800,0,1
Culver-Stockton College,Canton,MO,www.culver.edu,2,4,43,40.130064,-91.526682,22,8,0.5772,470,490,NULL,21,21,21,NULL,986,34565,24050,24050,0.7591,41100,31200,33300,33600,38800,0.5285,0.4715
Drury University,Springfield,MO,www.drury.edu,2,4,12,37.219757,-93.285773,19,13,0.7441,NULL,NULL,NULL,26,27,25,NULL,1185,33480,23885,23885,0.8453,35800,28100,31100,31100,35900,0.3963,0.6037
Evangel University,Springfield,MO,www.evangel.edu,2,4,12,37.220956,-93.262614,20,11,0.6453,505,500,495,23,23,22,7,1055,32183,20796,20796,0.7511,38800,30200,33000,35400,35800,0.4581,0.5419
Fontbonne University,Saint Louis,MO,www.fontbonne.edu,2,4,21,38.642697,-90.315712,18,10,0.9061,519,577,525,23,23,22,NULL,1052,32882,22770,22770,0.6815,44500,37700,40900,40200,44500,0.3176,0.6824
Hannibal-LaGrange University,Hannibal,MO,www.hlg.edu,2,4,33,39.730785,-91.391423,22,7,0.6118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29079,19530,19530,0.5749,35700,29300,31900,33200,35800,0.4173,0.5827
Kansas City Art Institute,Kansas City,MO,www.kcai.edu,2,4,11,39.046353,-94.583594,30,6,0.5997,575,515,520,24,24,22,NULL,1086,48454,35118,35118,0.773,32100,23100,25500,25700,26100,0.3554,0.6446
Lindenwood University,Saint Charles,MO,www.lindenwood.edu,2,4,13,38.788203,-90.502825,17,14,0.5288,485,495,470,23,22,22,7,1038,30929,15580,15580,0.701,44500,36200,37500,39800,42300,0.4594,0.5406
Maryville University of Saint Louis,Saint Louis,MO,www.maryville.edu,2,4,21,38.645474,-90.505096,17,12,0.7205,505,540,NULL,25,26,25,NULL,1137,39236,25884,25884,0.8648,49900,41600,44400,45500,48300,0.292,0.708
Missouri Baptist University,Saint Louis,MO,www.mobap.edu,2,4,21,38.642017,-90.462606,18,9,0.6023,460,480,NULL,21,20,21,NULL,984,32293,22760,22760,0.6326,36400,29900,32800,33300,34800,0.4584,0.5416
Missouri Southern State University,Joplin,MO,www.mssu.edu,1,4,13,37.095722,-94.460893,22,12,0.96,NULL,NULL,NULL,21,20,21,7,990,13542,5416,10450,0.6536,36200,28500,30900,32300,34500,0.4328,0.5672
Missouri Valley College,Marshall,MO,www.moval.edu,2,4,33,39.108655,-93.190236,22,11,0.4378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29173,18400,18400,0.5152,37700,27700,30900,32900,35800,0.6038,0.3962
University of Missouri-Columbia,Columbia,MO,missouri.edu/,1,4,12,38.941015,-92.326429,15,15,0.7767,585,595,NULL,26,26,26,NULL,1166,22943,9433,24460,0.8619,54700,39400,43200,47200,50900,0.4805,0.5195
University of Missouri-Kansas City,Kansas City,MO,www.umkc.edu/,1,4,11,39.035366,-94.578039,16,16,0.6426,590,595,NULL,25,25,23,NULL,1129,24436,7774,18222,0.7302,54600,41900,44000,47500,51800,0.4342,0.5658
Missouri University of Science and Technology,Rolla,MO,www.mst.edu/,1,4,33,37.955853,-91.7759,16,13,0.8585,605,650,NULL,29,28,29,NULL,1283,21798,8961,23771,0.8568,64700,55100,56900,61400,61700,0.7677,0.2323
University of Missouri-St Louis,Saint Louis,MO,www.umsl.edu/,1,4,21,38.711297,-90.308886,16,15,0.7578,NULL,575,NULL,24,25,23,NULL,1105,22165,8844,23142,0.7866,45000,36700,39000,41100,42700,0.4329,0.5671
Truman State University,Kirksville,MO,www.truman.edu,1,4,33,40.188238,-92.580531,19,13,0.7448,623,617,NULL,27,28,26,NULL,1226,19368,7374,13438,0.88,47500,34500,38500,40900,45700,0.4155,0.5845
Northwest Missouri State University,Maryville,MO,www.nwmissouri.edu,1,4,33,40.352706,-94.884341,18,13,0.7658,525,550,NULL,23,22,22,NULL,1051,17376,6525,11526,0.7125,41900,31100,36000,37500,41400,0.445,0.555
