INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Alcorn State University,Alcorn State,MS,www.alcorn.edu,1,5,43,31.877216,-91.142854,19,14,0.7844,438,453,NULL,18,18,17,NULL,872,21116,6200,6200,0.7596,34100,27600,28800,29800,33000,0.3586,0.6414
Belhaven University,Jackson,MS,www.belhaven.edu,2,5,12,32.318415,-90.169228,18,10,0.7169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31730,20780,20780,0.659,40800,34500,35600,37500,41000,0.3574,0.6426
Blue Mountain College,Blue Mountain,MS,www.bmc.edu,2,5,42,34.67209,-89.02924,22,8,0.5503,NULL,NULL,NULL,22,22,21,NULL,1030,17198,10534,10534,0.6296,29900,25500,27600,27500,29900,0.4096,0.5904
Delta State University,Cleveland,MS,www.deltastate.edu,1,5,33,33.747586,-90.73544,18,9,0.9234,475,475,NULL,21,21,20,NULL,968,18887,6562,6562,0.6711,38600,29700,33100,33500,36800,0.3945,0.6055
Jackson State University,Jackson,MS,www.jsums.edu,1,5,12,32.296781,-90.20663,16,13,0.7047,465,460,NULL,19,19,18,NULL,911,19803,6602,16174,0.7781,32700,25300,27600,28800,31800,0.3725,0.6275
Millsaps College,Jackson,MS,www.millsaps.edu,2,5,12,32.3231,-90.178084,21,8,0.5718,575,575,NULL,26,25,27,NULL,1178,46491,33982,33982,0.8012,51900,37500,36800,42000,47000,0.5092,0.4908
University of Mississippi,University,MS,www.olemiss.edu,1,5,33,34.362144,-89.539377,15,16,0.8122,535,540,NULL,24,26,24,NULL,1098,22444,7096,19144,0.8469,53600,41500,43800,48000,50300,0.438,0.562
Mississippi University for Women,Columbus,MS,www.muw.edu,1,5,33,33.493305,-88.418601,20,10,0.9361,495,618,NULL,21,21,19,NULL,988,16299,5640,15360,0.6944,38800,30700,35700,34000,39700,0.1662,0.8338
Mississippi Valley State University,Itta Bena,MS,www.mvsu.edu,1,5,33,33.514142,-90.341274,20,11,0.1633,NULL,NULL,NULL,17,17,17,NULL,825,19331,5916,5916,0.6471,25400,21800,23700,24300,25600,0.4357,0.5643
Mississippi College,Clinton,MS,www.mc.edu,2,5,21,32.334565,-90.330452,18,13,0.6304,540,540,NULL,25,26,23,NULL,1120,27468,15458,15458,0.716,42500,34900,37700,39100,43100,0.4147,0.5853
Mississippi State University,Mississippi State,MS,www.msstate.edu,1,5,33,33.454809,-88.788979,16,16,0.7102,560,570,NULL,25,26,21,NULL,1126,21581,7140,18478,0.8018,47400,35600,40200,40600,44700,0.5144,0.4856
Rust College,Holly Springs,MS,www.rustcollege.edu,2,5,32,34.776862,-89.446999,22,8,0.3885,NULL,NULL,NULL,16,14,16,NULL,760,15284,9286,9286,0.7079,25400,17900,21200,22000,25200,0.4154,0.5846
University of Southern Mississippi,Hattiesburg,MS,www.usm.edu,1,5,13,31.327499,-89.33791,16,16,0.6674,505,508,NULL,22,21,23,NULL,1029,19493,6980,15550,0.7409,40700,31500,35800,36700,39800,0.3629,0.6371
Tougaloo College,Tougaloo,MS,www.tougaloo.edu,2,5,12,32.402719,-90.159405,21,8,0.403,424,429,NULL,18,19,17,NULL,864,20503,10218,10218,0.8235,30300,23500,24700,26700,31500,0.3464,0.6536
William Carey University,Hattiesburg,MS,www.wmcarey.edu,2,5,13,31.305264,-89.291815,18,13,0.5042,495,530,NULL,24,25,22,NULL,1080,24941,11400,11400,0.7207,40800,31100,36000,35000,37300,0.3389,0.6611
