INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Appalachian State University,Boone,NC,www.appstate.edu/,1,5,32,36.214844,-81.680234,18,16,0.6266,575,575,550,25,26,25,7,1148,19017,6553,19720,0.8762,41100,30400,33600,36100,38500,0.462,0.538
Barton College,Wilson,NC,www.barton.edu/,2,5,31,35.735463,-77.913805,22,8,0.3846,475,480,NULL,21,19,21,NULL,962,38209,26664,26664,0.7442,39100,30900,34000,36200,37200,0.3146,0.6854
Belmont Abbey College,Belmont,NC,www.belmontabbeycollege.edu,2,5,22,35.261276,-81.041847,22,10,0.6923,495,510,NULL,21,21,21,NULL,1000,31278,18500,18500,0.6316,40700,32100,35600,36600,40600,0.4285,0.5715
Bennett College,Greensboro,NC,www.bennett.edu,2,5,11,36.067531,-79.77998,22,8,0.9179,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30549,17355,17355,0.5155,29200,21000,25600,27900,29800,0,1
Brevard College,Brevard,NC,www.brevard.edu,2,5,31,35.237657,-82.729763,22,8,0.4321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36307,26170,26170,0.5909,30400,24100,25300,29500,31600,0.5805,0.4195
Campbell University,Buies Creek,NC,www.campbell.edu,2,5,31,35.409333,-78.739508,18,14,0.6806,525,500,535,22,22,23,NULL,1025,42061,27530,27530,0.7211,53800,40500,49500,50700,50900,0.4818,0.5182
Catawba College,Salisbury,NC,www.catawba.edu,2,5,22,35.692445,-80.486575,22,11,0.359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39042,27360,27360,0.7297,41400,30400,34800,35800,38700,0.4717,0.5283
Chowan University,Murfreesboro,NC,www.chowan.edu/,2,5,32,36.436258,-77.099141,22,11,0.5981,395,395,375,15,15,16,NULL,773,31573,22900,22900,0.5211,35200,25300,29400,31300,35800,0.4871,0.5129
Davidson College,Davidson,NC,www.davidson.edu/,2,5,21,35.500006,-80.845236,21,11,0.2167,665,670,665,30,NULL,NULL,NULL,1337,57458,45377,45377,0.9523,63800,48300,47700,60900,66600,0.4946,0.5054
Duke University,Durham,NC,WWW.DUKE.EDU,2,5,12,36.00159,-78.94226,15,17,0.1141,715,745,735,33,33,34,9,1454,61748,47243,47243,0.9723,106300,86900,95000,98300,101100,0.5037,0.4963
East Carolina University,Greenville,NC,www.ecu.edu,1,5,13,35.606347,-77.366199,16,16,0.7728,510,530,490,22,22,22,7,1036,20710,6143,21340,0.812,43500,34600,37100,38700,42300,0.4189,0.5811
Elizabeth City State University,Elizabeth City,NC,www.ecsu.edu,1,5,32,36.273539,-76.210063,20,10,0.49,425,440,400,19,19,18,NULL,866,12305,4498,16173,0.6832,30800,22700,25700,26500,31900,0.4112,0.5888
Elon University,Elon,NC,www.elon.edu,2,5,22,36.104149,-79.505632,19,14,0.5393,610,615,610,27,28,26,NULL,1225,43388,31247,31247,0.9111,53900,40400,43600,47500,47300,0.4051,0.5949
Fayetteville State University,Fayetteville,NC,www.uncfsu.edu,1,5,12,35.072485,-78.894709,19,13,0.5032,435,450,405,19,18,19,7,892,14366,4655,16263,0.7446,32200,26100,29000,30000,32300,0.3079,0.6921
Gardner-Webb University,Boiling Springs,NC,www.gardner-webb.edu,2,5,32,35.24732,-81.668141,17,13,0.6712,503,510,485,22,21,22,NULL,1020,37620,27080,27080,0.7373,39500,32100,36200,36100,39100,0.3359,0.6641
Greensboro College,Greensboro,NC,www.greensboro.edu,2,5,11,36.071082,-79.800232,22,7,0.7311,435,445,410,18,17,18,7,876,38810,26850,26850,0.515,38000,29900,33300,34700,34200,0.5277,0.4723
Guilford College,Greensboro,NC,www.guilford.edu,2,5,11,36.092563,-79.888848,21,11,0.6218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45395,33430,33430,0.7398,42100,30000,34900,33700,41600,0.472,0.528
High Point University,High Point,NC,www.highpoint.edu,2,5,12,35.972674,-79.994545,22,14,0.8019,545,556,540,24,23,23,NULL,1096,45350,31480,31480,0.772,41600,33900,35800,37600,41300,0.4058,0.5942
Laurel University,High Point,NC,www.laureluniversity.edu,2,5,12,35.994093,-79.997065,24,7,0.8308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17410,9850,9850,0.8571,36100,PrivacySuppressed,33300,37700,37200,0.6622,0.3378
Johnson C Smith University,Charlotte,NC,www.jcsu.edu,2,5,11,35.243384,-80.854842,21,11,0.4225,405,405,NULL,17,16,17,NULL,808,31993,18236,18236,0.6638,32600,22800,24400,26500,32000,0.3949,0.6051
Lees-McRae College,Banner Elk,NC,www.lmc.edu,2,5,42,36.162777,-81.873919,22,8,0.6196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38540,24150,24150,0.6593,34700,26500,29100,29200,35000,0.3383,0.6617
