INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Clarkson College,Omaha,NE,www.clarksoncollege.edu/,2,4,11,41.259201,-95.977188,26,6,0.6134,NULL,NULL,NULL,21,23,21,NULL,990,24048,13352,13352,0.6563,47300,47400,44900,46700,47500,0.1218,0.8782
Bryan College of Health Sciences,Lincoln,NE,www.bryanhealthcollege.edu/bcohs/,2,4,11,40.796768,-96.651532,26,6,0.573,NULL,NULL,NULL,23,22,22,NULL,1050,23203,13592,13592,0.8286,52700,44700,46400,45600,52100,0.0935,0.9065
Concordia University-Nebraska,Seward,NE,www.cune.edu,2,4,32,40.914853,-97.089054,18,11,0.7661,490,480,NULL,24,24,23,NULL,1067,34816,25950,25950,0.7972,39700,34300,34300,36000,37700,0.4878,0.5122
Creighton University,Omaha,NE,www.creighton.edu,2,4,11,41.265325,-95.947029,18,14,0.7267,575,608,580,27,28,27,9,1200,47780,35360,35360,0.9137,66000,46600,57400,59700,65900,0.4159,0.5841
Doane University-Arts & Sciences,Crete,NE,www.doane.edu,2,4,32,40.623107,-96.949656,21,11,0.7935,485,490,470,23,23,22,9,1060,38380,27200,27200,0.7213,46700,35400,39600,42400,44700,0.5019,0.4981
Grace University,Omaha,NE,https://www.graceuniversity.edu/,2,4,11,41.244723,-95.92789,22,8,0.4462,438,468,406,24,24,22,NULL,1064,28826,19290,19290,0.6875,33600,26400,29400,30800,30700,0.5013,0.4987
Hastings College,Hastings,NE,www.hastings.edu,2,4,32,40.590448,-98.373641,22,11,0.6965,495,520,NULL,24,24,23,NULL,1079,36689,26280,26280,0.7449,43700,33800,36000,39500,42100,0.5154,0.4846
University of Nebraska at Kearney,Kearney,NE,www.unk.edu,1,4,32,40.700787,-99.098237,18,13,0.8411,475,510,NULL,23,22,22,NULL,1049,19797,6586,12744,0.7954,42100,33600,36700,39400,40100,0.4308,0.5692
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,www.methodistcollege.edu,2,4,11,41.265973,-96.048511,26,6,0.8261,NULL,NULL,NULL,24,23,22,NULL,1090,24527,13614,13614,0.7037,49400,44800,44600,43200,46000,0.0984,0.9016
Midland University,Fremont,NE,www.midlandu.edu,2,4,32,41.43675,-96.488354,22,11,0.6018,NULL,NULL,NULL,22,21,22,NULL,1010,37710,28150,28150,0.5858,42700,33400,35000,38000,41700,0.5138,0.4862
University of Nebraska at Omaha,Omaha,NE,www.unomaha.edu,1,4,11,41.257746,-96.010797,17,15,0.785,NULL,NULL,NULL,23,23,21,NULL,1050,16710,6750,18070,0.7742,46100,35500,39400,41900,44400,0.4859,0.5141
Nebraska Wesleyan University,Lincoln,NE,www.nebrwesleyan.edu/,2,4,11,40.838789,-96.648414,19,11,0.7814,540,555,NULL,25,25,25,NULL,1124,38668,28500,28500,0.8122,50700,38500,40700,43100,47400,0.3755,0.6245
University of Nebraska-Lincoln,Lincoln,NE,www.unl.edu/,1,4,11,40.822272,-96.702177,15,16,0.6989,570,590,NULL,25,25,25,NULL,1146,21286,8170,22090,0.8401,49400,36900,39900,44300,46800,0.5333,0.4667
College of Saint Mary,Omaha,NE,WWW.CSM.EDU,2,4,11,41.240879,-96.020209,20,7,0.5285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35927,27984,27984,0.7865,40500,37100,38300,39700,40100,0,1
Union College,Lincoln,NE,www.ucollege.edu,2,4,11,40.774778,-96.651095,22,8,0.5214,NULL,493,498,22,23,21,NULL,1030,31910,21080,21080,0.7515,43900,35400,38000,38800,40800,0.4123,0.5877
York College,York,NE,www.york.edu/,2,4,33,40.867453,-97.579285,22,8,0.4076,NULL,450,455,21,23,22,NULL,970,26250,16080,16080,0.5604,38100,25300,31900,33900,33800,0.5572,0.4428
