INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Colby-Sawyer College,New London,NH,www.colby-sawyer.edu,2,1,42,43.411663,-71.975805,22,11,0.9056,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52655,38040,38040,0.7569,43200,36200,37800,40800,42100,0.3079,0.6921
Daniel Webster College,Nashua,NH,www.dwc.edu,3,1,13,42.776362,-71.514293,20,8,0.6289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28612,15630,15630,0.6209,58100,43700,47800,53600,54900,0.8152,0.1848
Dartmouth College,Hanover,NH,www.dartmouth.edu,2,1,33,43.70408,-72.289951,16,14,0.115,730,725,740,32,NULL,NULL,NULL,1444,63279,48108,48108,0.9766,99700,69900,79400,85300,91300,0.5067,0.4933
Franklin Pierce University,Rindge,NH,www.franklinpierce.edu,2,1,41,42.782305,-72.057875,19,11,0.843,470,480,465,20,18,21,NULL,949,45898,31782,31782,0.6711,40200,33200,35000,37900,39200,0.4518,0.5482
New England College,Henniker,NH,www.nec.edu/,2,1,42,43.177005,-71.822928,18,10,0.9573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45772,33900,33900,0.6068,38100,29500,33500,37800,36100,0.4265,0.5735
Southern New Hampshire University,Manchester,NH,www.snhu.edu,2,1,12,43.039892,-71.453938,18,15,0.8421,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40893,29604,29604,0.6774,45700,38200,39600,42800,45600,0.3887,0.6113
University of New Hampshire-Main Campus,Durham,NH,www.unh.edu,1,1,23,43.134235,-70.934512,16,17,0.8002,540,560,550,25,24,26,NULL,1104,29916,16552,29532,0.8599,52100,39700,43100,47000,49400,0.457,0.543
Keene State College,Keene,NH,www.keene.edu,1,1,32,42.925999,-72.281433,20,14,0.7859,485,480,485,NULL,NULL,NULL,NULL,965,24692,12864,20784,0.7648,42600,32300,36100,37600,40800,0.4299,0.5701
University of New Hampshire at Manchester,Manchester,NH,manchester.unh.edu,1,1,12,42.990331,-71.468764,21,6,0.7008,510,500,495,NULL,NULL,NULL,NULL,1010,21862,13768,26748,0.8125,52100,39700,43100,47000,49400,0.5,0.5
Plymouth State University,Plymouth,NH,www.plymouth.edu,1,1,33,43.757386,-71.691164,18,13,0.752,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25668,12677,20587,0.7419,40400,31900,34300,37200,39200,0.5228,0.4772
Rivier University,Nashua,NH,www.rivier.edu,2,1,13,42.738343,-71.455466,18,10,0.6256,480,485,475,20,18,18,5,962,41377,28900,28900,0.7418,44900,41000,41600,43500,44800,0.1863,0.8137
Saint Anselm College,Manchester,NH,www.anselm.edu,2,1,22,42.985066,-71.508177,21,11,0.7609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49836,36546,36546,0.8976,57200,44500,48900,52300,55300,0.3944,0.6056
