INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Bloomfield College,Bloomfield,NJ,www.bloomfield.edu/,2,2,21,40.794218,-74.19593,21,10,0.634,405,415,NULL,15,NULL,NULL,NULL,810,39473,26750,26750,0.7332,39300,33100,35400,37100,41500,0.3678,0.6322
Caldwell University,Caldwell,NJ,www.caldwell.edu,2,2,21,40.834285,-74.273697,19,10,0.6393,465,485,465,20,19,21,NULL,950,39782,30050,30050,0.8424,47100,36000,39600,42400,47000,0.3014,0.6986
Centenary College,Hackettstown,NJ,www.centenarycollege.edu,2,2,21,40.848693,-74.832775,19,11,0.8191,465,465,455,19,NULL,NULL,NULL,926,45141,30942,30942,0.7524,47700,40200,42900,43600,46400,0.3679,0.6321
Drew University,Madison,NJ,www.drew.edu,2,2,21,40.757026,-74.425825,21,11,0.7017,560,550,555,25,25,23,NULL,1118,58700,45364,45364,0.8396,55200,34200,44100,45800,53700,0.3776,0.6224
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,www.fdu.edu,2,2,21,40.896162,-74.030023,17,12,0.8011,465,475,NULL,21,NULL,NULL,NULL,944,44292,35880,35880,0.6737,51600,38900,43600,46200,49000,0.4313,0.5687
Felician University,Lodi,NJ,www.felician.edu,2,2,21,40.867272,-74.096452,20,9,0.8416,430,445,430,17,NULL,NULL,NULL,870,42675,30605,30605,0.7881,43300,42800,42300,46800,44800,0.2738,0.7262
Fairleigh Dickinson University-College at Florham,Madison,NJ,www.fdu.edu,2,2,21,40.777364,-74.435359,18,11,0.8075,505,520,NULL,24,NULL,NULL,NULL,1031,52258,38236,38236,0.8221,51600,38900,43600,46200,49000,0.4591,0.5409
Georgian Court University,Lakewood,NJ,georgian.edu/,2,2,13,40.098706,-74.22622,19,10,0.6806,460,485,455,NULL,NULL,NULL,NULL,945,40068,30998,30998,0.6982,43800,33000,38300,38800,43800,0.189,0.811
Rowan University,Glassboro,NJ,www.rowan.edu,1,2,21,39.709768,-75.117974,18,16,0.4357,530,570,530,25,NULL,NULL,NULL,1103,25341,12616,20570,0.8401,52100,38300,44300,47100,48600,0.5296,0.4704
New Jersey City University,Jersey City,NJ,www.njcu.edu,1,2,12,40.709937,-74.08727,18,12,0.7659,435,455,NULL,NULL,NULL,NULL,NULL,890,17010,10852,19424,0.7244,43900,34000,39600,39400,43000,0.3954,0.6046
Kean University,Union,NJ,www.kean.edu,1,2,21,40.679429,-74.234668,18,15,0.7036,445,465,NULL,19,NULL,NULL,NULL,907,23295,11244,17653,0.7455,46300,35500,40500,41800,46300,0.4,0.6
Monmouth University,West Long Branch,NJ,www.monmouth.edu,2,2,21,40.280066,-74.006447,18,13,0.7419,515,535,530,24,NULL,NULL,NULL,1055,44041,32310,32310,0.8354,54100,38300,44400,45800,50700,0.4055,0.5945
Montclair State University,Montclair,NJ,www.montclair.edu,1,2,21,40.859233,-74.199455,17,16,0.6683,480,495,490,NULL,NULL,NULL,NULL,975,24451,11540,20254,0.8144,50400,36800,41900,44600,48900,0.3891,0.6109
New Jersey Institute of Technology,Newark,NJ,www.njit.edu/,1,2,11,40.741997,-74.177113,16,12,0.6339,550,615,545,26,25,27,NULL,1168,28225,15648,29288,0.838,67200,49100,55600,59200,63100,0.7913,0.2087
Princeton University,Princeton,NJ,www.princeton.edu,2,2,21,40.34853,-74.663603,15,14,0.0744,745,755,750,33,34,33,9,1491,57400,41820,41820,0.9766,108600,75600,89600,93200,98600,0.5112,0.4888
Rabbinical College of America,Morristown,NJ,www.rca.edu/,2,2,21,40.811385,-74.502182,24,8,0.8537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22000,10700,10700,0.6316,39000,24700,PrivacySuppressed,25000,27900,1,0
Ramapo College of New Jersey,Mahwah,NJ,www.ramapo.edu,1,2,21,41.007523,-74.116384,19,13,0.5332,535,555,535,23,24,22,NULL,1082,27561,13388,22038,0.8768,48200,40800,44000,48200,48800,0.4516,0.5484
Rider University,Lawrenceville,NJ,www.rider.edu,2,2,21,40.283122,-74.742822,18,14,0.7091,505,520,505,22,23,22,NULL,1026,50389,36830,36830,0.8053,52100,37900,43000,45100,49300,0.4131,0.5869
Rutgers University-Camden,Camden,NJ,www.rutgers.edu,1,2,13,39.948628,-75.125303,18,12,0.6038,505,520,505,NULL,NULL,NULL,NULL,1025,23651,13683,27978,0.8158,62600,45400,52800,54700,58700,0.4399,0.5601
Rutgers University-New Brunswick,New Brunswick,NJ,www.rutgers.edu/,1,2,13,40.503796,-74.45051,15,16,0.605,580,635,600,NULL,NULL,NULL,NULL,1215,28766,13813,28591,0.9212,62600,45400,52800,54700,58700,0.4969,0.5031
