INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
University of Akron Main Campus,Akron,OH,www.uakron.edu,1,3,12,41.077768,-81.510328,16,15,0.9571,515,535,NULL,23,22,22,NULL,1050,21772,10260,18792,0.7396,38900,32300,33400,35400,37000,0.5332,0.4668
Art Academy of Cincinnati,Cincinnati,OH,www.artacademy.edu,2,3,11,39.108382,-84.497573,30,6,0.2434,485,425,460,21,22,19,NULL,961,34457,26376,26376,0.6667,32100,19100,21000,25900,26400,0.3881,0.6119
Ashland University,Ashland,OH,https://www.ashland.edu,2,3,31,40.860987,-82.320621,17,13,0.7257,505,525,NULL,23,22,22,NULL,1048,41577,19852,19852,0.7681,40700,32900,35300,37400,39900,0.4912,0.5088
Baldwin Wallace University,Berea,OH,www.bw.edu,2,3,21,41.373938,-81.849112,18,14,0.6397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38441,28814,28814,0.8097,49300,35400,40000,41400,45600,0.4487,0.5513
Bluffton University,Bluffton,OH,www.bluffton.edu,2,3,32,40.896998,-83.897678,22,8,0.5603,505,515,460,22,21,22,NULL,1029,41351,29316,29316,0.696,40400,31600,34600,36000,40200,0.4989,0.5011
Bowling Green State University-Main Campus,Bowling Green,OH,www.bgsu.edu,1,3,31,41.377036,-83.637531,16,16,0.5337,510,515,NULL,22,21,21,NULL,1012,22998,10726,18034,0.7586,42200,32300,35600,37500,40800,0.4396,0.5604
Capital University,Columbus,OH,www.capital.edu,2,3,21,39.954875,-82.937867,19,14,0.7274,530,545,515,24,24,24,NULL,1100,43603,32190,32190,0.758,44200,35300,39700,41200,41700,0.4222,0.5778
Case Western Reserve University,Cleveland,OH,www.case.edu,2,3,11,41.500812,-81.605769,15,17,0.3831,660,710,660,31,32,32,9,1375,57405,43158,43158,0.9312,79500,68200,70800,74200,74600,0.5444,0.4556
Cedarville University,Cedarville,OH,www.cedarville.edu,2,3,31,39.750338,-83.812098,22,14,0.7449,595,595,570,26,27,26,NULL,1187,34902,26420,26420,0.8832,45600,35000,37900,38300,42600,0.4809,0.5191
Central State University,Wilberforce,OH,www.centralstate.edu,1,3,41,39.716465,-83.876795,22,11,0.3772,400,400,NULL,17,16,16,NULL,804,17695,6246,13928,0.5109,26800,20400,22600,23300,25200,0.4647,0.5353
Cincinnati Christian University,Cincinnati,OH,www.CCUniversity.edu,2,3,11,39.112396,-84.554752,24,7,0.5851,495,473,475,21,20,21,NULL,969,27591,15266,15266,0.7379,34500,26500,30700,30100,32400,0.5233,0.4767
University of Cincinnati-Main Campus,Cincinnati,OH,www.uc.edu,1,3,11,39.131159,-84.51428,15,15,0.7578,570,595,550,26,25,26,8,1165,26196,11000,26334,0.8628,45300,36500,38500,42100,44000,0.4972,0.5028
Ohio Christian University,Circleville,OH,www.ohiochristian.edu,2,3,32,39.610895,-82.905986,22,9,0.654,NULL,NULL,NULL,20,20,20,NULL,930,23714,17720,17720,0.6405,38300,30300,29100,29300,35700,0.3675,0.6325
Cleveland Institute of Art,Cleveland,OH,www.cia.edu,2,3,11,41.50988,-81.602121,30,7,0.6699,545,500,505,23,23,21,NULL,1048,51934,37565,37565,0.8102,40000,29000,29800,34400,38400,0.4465,0.5535
Cleveland Institute of Music,Cleveland,OH,www.cim.edu,2,3,11,41.512444,-81.608878,30,8,0.4389,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61399,46027,46027,0.9333,52400,22200,34500,35600,44600,0.4831,0.5169
Cleveland State University,Cleveland,OH,www.csuohio.edu/,1,3,11,41.502918,-81.673052,16,15,0.8421,515,520,495,22,21,21,7,1014,21684,9686,12928,0.6969,43300,35600,38200,40600,41600,0.465,0.535
Columbus College of Art and Design,Columbus,OH,WWW.CCAD.EDU,2,3,11,39.965767,-82.988548,30,10,0.8864,555,535,520,22,23,21,7,1044,41140,30390,30390,0.8034,36600,26500,29900,32200,36000,0.3554,0.6446
University of Dayton,Dayton,OH,https://www.udayton.edu,2,3,12,39.73686,-84.173662,16,17,0.5901,560,585,560,27,27,27,NULL,1194,49540,37230,37230,0.9052,56800,43700,46800,50200,55300,0.528,0.472
Defiance College,Defiance,OH,www.defiance.edu,2,3,32,41.300336,-84.356596,22,8,0.6469,460,460,NULL,21,20,21,NULL,975,40814,29916,29916,0.5292,40600,31300,34900,37700,39400,0.5206,0.4794
Denison University,Granville,OH,www.denison.edu,2,3,23,40.072582,-82.520625,21,11,0.5553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56520,45670,45670,0.89,57100,36600,41100,47100,53400,0.4238,0.5762
The University of Findlay,Findlay,OH,www.findlay.edu/,2,3,32,41.05441,-83.652067,18,13,0.7197,515,475,475,23,23,23,NULL,1035,40131,30640,30640,0.8012,46000,44700,40300,43300,44400,0.3777,0.6223
