INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Bacone College,Muskogee,OK,www.bacone.edu,2,6,32,35.77707,-95.335337,23,7,0.4296,398,428,NULL,18,16,17,NULL,845,28010,14050,14050,0.5152,33300,29600,30000,32800,31500,0.6294,0.3706
Oklahoma Wesleyan University,Bartlesville,OK,www.okwu.edu,2,6,32,36.717752,-95.954124,20,7,0.627,475,495,460,22,20,21,NULL,999,33336,23180,23180,0.6215,53200,41500,48100,47000,48800,0.3712,0.6288
University of Central Oklahoma,Edmond,OK,www.uco.edu,1,6,21,35.658239,-97.470985,18,15,0.9032,NULL,NULL,NULL,21,20,22,NULL,990,17079,5806,14286,0.6565,44300,34700,36800,39200,41600,0.424,0.576
East Central University,Ada,OK,https://www.ecok.edu,1,6,33,34.773805,-96.664196,18,14,0.9719,440,500,NULL,22,20,22,NULL,1005,12295,5599,13512,0.6594,39200,32400,34300,36100,37200,0.3958,0.6042
Hillsdale Free Will Baptist College,Moore,OK,www.hc.edu,2,6,21,35.300757,-97.491107,24,8,0.5313,395,415,400,20,19,20,NULL,940,23151,11980,11980,0.675,38100,31000,32800,35400,34100,0.6283,0.3717
Spartan College of Aeronautics and Technology,Tulsa,OK,www.spartan.edu,3,6,11,36.178011,-95.879012,28,7,0.7687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26976,16395,16395,0.8221,44800,40000,39300,42900,40300,0.8905,0.1095
Northeastern State University,Tahlequah,OK,www.nsuok.edu,3,6,33,35.920499,-94.968528,18,12,0.7501,461,474,NULL,22,20,21,NULL,1009,14395,5285,12635,0.6092,39000,31000,33300,35200,37200,0.3894,0.6106
Northwestern Oklahoma State University,Alva,OK,www.nwosu.edu,1,6,33,36.796313,-98.667596,20,10,0.6623,NULL,NULL,NULL,20,19,19,NULL,930,13055,5843,12293,0.5984,41100,31300,32800,36600,40000,0.4291,0.5709
Oklahoma Christian University,Edmond,OK,www.oc.edu,2,6,11,35.609042,-97.468312,18,11,0.6401,540,540,525,25,24,25,7,1127,29488,19120,19120,0.749,41000,30500,33300,36400,38200,0.5155,0.4845
Oklahoma Panhandle State University,Goodwell,OK,www.opsu.edu,1,6,42,36.594518,-101.638488,22,10,0.595,NULL,NULL,NULL,19,18,19,NULL,910,15888,7137,7137,0.6667,38500,31600,32800,36300,38500,0.4665,0.5335
Oklahoma State University-Main Campus,Stillwater,OK,www.okstate.edu/,1,6,32,36.123085,-97.069743,16,16,0.7495,540,565,NULL,25,25,24,NULL,1137,21629,7442,20027,0.8087,52200,41300,42900,45900,47600,0.5105,0.4895
Oklahoma Baptist University,Shawnee,OK,www.okbu.edu,2,6,32,35.359949,-96.934334,22,11,0.6048,575,538,NULL,26,27,25,NULL,1171,33213,22800,22800,0.7361,39600,32500,33500,38100,36900,0.4035,0.5965
Oklahoma City University,Oklahoma City,OK,www.okcu.edu,2,6,11,35.495271,-97.541242,18,11,0.6777,585,580,560,26,27,25,8,1165,42983,30726,30726,0.7937,47600,38600,41800,45000,43700,0.3664,0.6336
University of Oklahoma-Norman Campus,Norman,OK,www.ou.edu,1,6,22,35.208152,-97.445692,15,16,0.8133,595,605,NULL,26,26,26,NULL,1189,23384,9495,22269,0.8521,58200,46200,48000,52000,54000,0.5148,0.4852
Oral Roberts University,Tulsa,OK,oru.edu,2,6,11,36.050705,-95.954215,19,14,0.7976,496,480,NULL,22,23,21,NULL,1010,36011,23410,23410,0.8005,39800,32000,34300,35800,37800,0.4323,0.5677
Rogers State University,Claremore,OK,www.rsu.edu,1,6,31,36.319609,-95.635739,22,9,0.7701,NULL,NULL,NULL,18,16,17,NULL,850,17374,5725,12766,0.6533,35300,30800,31800,33900,33900,0.3714,0.6286
St. Gregory's University,Shawnee,OK,www.stgregorys.edu,2,6,41,35.367401,-96.954186,22,8,0.5273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33189,19320,19320,0.6204,45600,34600,40500,41300,40200,0.4631,0.5369
University of Science and Arts of Oklahoma,Chickasha,OK,www.usao.edu,1,6,32,35.031392,-97.95641,21,8,0.6755,442,460,NULL,23,21,21,NULL,1039,14731,6270,15210,0.7558,35300,29500,29800,32800,34000,0.3574,0.6426
Southeastern Oklahoma State University,Durant,OK,www.se.edu,1,6,32,34.005114,-96.376372,19,12,0.7867,NULL,NULL,NULL,21,19,19,NULL,970,14305,5688,13992,0.6438,38500,31400,33300,35800,37100,0.4502,0.5498
Southwestern Christian University,Bethany,OK,www.swcu.edu,2,6,21,35.513596,-97.639411,22,7,0.8088,500,520,490,21,20,20,NULL,981,23156,12470,12470,0.4387,29500,26900,24400,28100,29200,0.4819,0.5181
Southwestern Oklahoma State University,Weatherford,OK,www.swosu.edu,1,6,33,35.534609,-98.707964,18,12,0.8526,NULL,NULL,NULL,22,22,21,NULL,1010,17060,5820,12270,0.6585,47200,38600,40900,43600,44400,0.4157,0.5843
University of Tulsa,Tulsa,OK,www.utulsa.edu,2,6,11,36.151887,-95.945175,16,14,0.4026,635,635,NULL,29,30,28,NULL,1296,49323,35855,35855,0.8765,54900,44600,46200,50000,50800,0.5821,0.4179
