INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Concordia University-Portland,Portland,OR,www.cu-portland.edu,2,8,11,45.568242,-122.637944,32,13,0.5262,520,520,NULL,22,22,21,NULL,1037,36978,27420,27420,0.682,43800,38200,41600,42200,43700,0.3282,0.6718
Eastern Oregon University,La Grande,OR,www.eou.edu,1,8,33,45.320392,-118.09384,20,9,0.6418,470,465,450,21,19,20,7,948,20421,7440,17509,0.5794,40700,33600,37000,37700,38600,0.3724,0.6276
New Hope Christian College-Eugene,Eugene,OR,www.newhope.edu,2,8,12,44.033123,-123.153724,24,8,0.6739,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25338,15950,15950,0.6333,28000,23900,23600,25900,20900,0.5123,0.4877
George Fox University,Newberg,OR,www.georgefox.edu,2,8,31,45.30399,-122.968394,18,14,0.7776,540,545,525,23,24,23,8,1081,43033,31866,31866,0.8255,46700,37500,41400,43400,44700,0.4366,0.5634
Lewis & Clark College,Portland,OR,www.lclark.edu/,2,8,11,45.450547,-122.672478,21,14,0.6662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55517,43382,43382,0.8436,47700,34200,37900,42300,48900,0.3923,0.6077
Linfield College-McMinnville Campus,McMinnville,OR,www.linfield.edu,2,8,32,45.201333,-123.200464,21,11,0.9377,540,540,520,24,23,23,NULL,1083,48058,37416,37416,0.8851,54900,47500,48600,50900,51700,0.3859,0.6141
Multnomah University,Portland,OR,www.multnomah.edu,2,8,11,45.518218,-122.682518,24,8,0.5667,540,530,510,21,NULL,NULL,NULL,1047,35313,22100,22100,0.7451,33100,26600,28800,29300,32400,0.5407,0.4593
Northwest Christian University,Eugene,OR,www.nwcu.edu/,2,8,12,44.047483,-123.079754,20,7,0.7191,507,489,500,21,21,21,NULL,987,34496,26180,26180,0.6951,47200,36600,39900,39300,40100,0.3841,0.6159
Oregon Institute of Technology,Klamath Falls,OR,www.oit.edu,1,8,33,42.257152,-121.785177,22,9,0.5984,500,525,465,24,22,24,NULL,1044,20395,8445,23670,0.731,53800,48900,48800,50900,53300,0.5592,0.4408
Oregon State University,Corvallis,OR,oregonstate.edu,1,8,13,44.56274,-123.274721,15,15,0.7776,545,560,525,25,24,25,8,1112,23326,9122,26294,0.8376,51900,39100,43000,47000,48700,0.5365,0.4635
University of Oregon,Eugene,OR,www.uoregon.edu,1,8,12,44.044515,-123.07398,15,15,0.749,550,560,545,25,25,24,8,1116,23055,9918,30888,0.8724,47100,36000,39200,42300,44300,0.4778,0.5222
Pacific Northwest College of Art,Portland,OR,www.pnca.edu,2,8,11,45.52695,-122.678851,30,6,0.8235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48102,33714,33714,0.8333,26300,23000,27800,31900,27000,0.3032,0.6968
Pacific University,Forest Grove,OR,www.pacificu.edu,2,8,21,45.521394,-123.108777,18,14,0.8045,540,550,NULL,24,NULL,NULL,NULL,1090,50486,38510,38510,0.8115,45500,32800,37200,42500,45800,0.4118,0.5882
Portland State University,Portland,OR,www.pdx.edu,1,8,11,45.511229,-122.683553,16,15,0.6933,520,510,NULL,22,NULL,NULL,NULL,1030,20318,7794,23319,0.7264,47400,36100,40400,42200,46400,0.478,0.522
University of Portland,Portland,OR,www.up.edu,2,8,11,45.571807,-122.726859,19,14,0.6293,600,595,NULL,NULL,26,26,NULL,1195,51947,40424,40424,0.8982,56500,49800,49500,53800,53800,0.4128,0.5872
Reed College,Portland,OR,www.reed.edu,2,8,11,45.480376,-122.63064,21,11,0.3873,705,680,685,31,32,30,NULL,1383,59595,47760,47760,0.8955,42900,30500,33000,36000,39100,0.4659,0.5341
Southern Oregon University,Ashland,OR,www.sou.edu,1,8,22,42.186467,-122.694034,18,13,0.7737,520,500,495,23,22,22,NULL,1029,19231,7701,21279,0.7386,40400,29800,33700,36600,37800,0.4326,0.5674
Warner Pacific College,Portland,OR,www.warnerpacific.edu/,2,8,11,45.50676,-122.594411,22,7,0.5274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32192,20300,20300,0.7297,39300,38200,35100,38400,37800,0.4374,0.5626
Corban University,Salem,OR,www.corban.edu,2,8,12,44.88408,-122.958413,20,8,0.3738,518,500,495,22,22,22,NULL,1016,39327,28640,28640,0.7658,41100,30600,34600,35700,38300,0.3918,0.6082
Willamette University,Salem,OR,www.willamette.edu,2,8,12,44.935743,-123.030727,21,11,0.8131,605,595,595,27,27,27,NULL,1209,54536,44076,44076,0.861,53000,33300,40500,44400,50300,0.4276,0.5724
Western Oregon University,Monmouth,OR,www.wou.edu,1,8,31,44.851866,-123.238785,19,13,0.8874,515,500,490,21,20,20,8,1001,21996,9105,22200,0.7035,41200,30100,33800,35800,39000,0.4182,0.5818
