INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Albright College,Reading,PA,www.albright.edu,2,2,13,40.360248,-75.910152,21,11,0.5007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48311,38220,38220,0.7649,49800,38600,42500,44500,51200,0.4162,0.5838
Allegheny College,Meadville,PA,www.allegheny.edu,2,2,32,41.648068,-80.146922,21,11,0.7177,585,575,575,26,26,26,NULL,1170,51883,40660,40660,0.8333,54100,34700,41100,44800,52800,0.4543,0.5457
DeSales University,Center Valley,PA,www.desales.edu,2,2,41,40.540137,-75.376549,18,10,0.7965,515,505,500,24,22,23,NULL,1033,46691,32350,32350,0.8417,51100,42700,44200,46900,51000,0.3982,0.6018
Alvernia University,Reading,PA,www.alvernia.edu,2,2,13,40.3102,-75.938163,19,10,0.7479,475,495,460,21,NULL,NULL,NULL,970,40723,30080,30080,0.7738,43300,37200,40400,42200,43500,0.268,0.732
Summit University of Pennsylvania,Clarks Summit,PA,www.summitu.edu,2,2,21,41.496219,-75.683551,24,7,0.8649,502,498,488,22,22,20,NULL,1004,28867,20250,20250,0.7765,31600,24100,27700,30300,31300,0.5,0.5
Arcadia University,Glenside,PA,https://www.arcadia.edu,2,2,21,40.091941,-75.165205,18,14,0.588,550,550,545,25,24,24,NULL,1105,50832,38160,38160,0.8157,47300,33300,38600,40800,45600,0.3102,0.6898
Bloomsburg University of Pennsylvania,Bloomsburg,PA,www.bloomu.edu,1,2,13,41.007989,-76.446383,18,13,0.8781,485,490,465,20,NULL,NULL,NULL,970,21631,8914,19364,0.7849,46300,34700,39800,40800,44200,0.4339,0.5661
Bryn Mawr College,Bryn Mawr,PA,www.brynmawr.edu,2,2,21,40.028541,-75.314988,21,11,0.4047,655,665,675,29,31,28,9,1313,59760,45540,45540,0.9123,63800,36000,43000,48500,52200,0,1
Bucknell University,Lewisburg,PA,www.bucknell.edu,2,2,32,40.954489,-76.886275,21,14,0.3072,635,670,655,30,31,30,10,1317,61060,48498,48498,0.9314,77700,55600,59300,63800,71500,0.4799,0.5201
Cabrini University,Radnor,PA,www.cabrini.edu,2,2,21,40.054565,-75.37215,18,11,0.7528,450,440,440,20,NULL,NULL,NULL,897,43480,29842,29842,0.769,45800,35700,39600,42200,45700,0.3756,0.6244
California University of Pennsylvania,California,PA,www.calu.edu,1,2,23,40.066473,-79.884477,18,13,0.8967,470,465,445,20,19,19,NULL,934,23500,9556,13550,0.7665,40900,33100,35400,37400,38900,0.4769,0.5231
Carlow University,Pittsburgh,PA,www.carlow.edu,2,2,11,40.439851,-79.963927,18,10,0.907,473,473,458,20,20,19,NULL,941,36704,26178,26178,0.7783,42500,36400,37800,38500,40900,0.1013,0.8987
Carnegie Mellon University,Pittsburgh,PA,www.cmu.edu/,2,2,11,40.444616,-79.942914,15,17,0.246,690,750,710,32,33,33,NULL,1436,61990,49022,49022,0.9597,96800,76400,82200,87400,85700,0.5668,0.4332
Cedar Crest College,Allentown,PA,www.cedarcrest.edu,2,2,12,40.586695,-75.519799,22,10,0.5233,504,500,495,22,22,21,NULL,1005,42202,34504,34504,0.6929,47900,37600,42900,44600,44100,0.0725,0.9275
Chatham University,Pittsburgh,PA,www.chatham.edu,2,2,11,40.448432,-79.926083,18,10,0.5231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45933,33428,33428,0.7717,36000,31000,32700,36400,39600,0.0268,0.9732
Chestnut Hill College,Philadelphia,PA,www.chc.edu,2,2,11,40.087048,-75.228847,18,10,0.7471,480,485,470,21,NULL,NULL,NULL,968,43477,32110,32110,0.7789,42600,33500,38500,39100,43900,0.3242,0.6758
Clarion University of Pennsylvania,Clarion,PA,www.clarion.edu,1,2,33,41.209676,-79.374775,18,13,0.9271,460,470,440,19,19,20,NULL,928,21814,9788,13760,0.7379,38500,29900,34000,35300,38100,0.3737,0.6263
Delaware Valley University,Doylestown,PA,www.delval.edu,2,2,21,40.29757,-75.158202,20,11,0.7574,490,500,470,21,20,21,7,990,46333,33826,33826,0.7212,43800,33600,35100,37300,43700,0.3779,0.6221
Dickinson College,Carlisle,PA,www.dickinson.edu,2,2,13,40.202796,-77.197854,21,11,0.4809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60109,47717,47717,0.9042,60000,39000,49300,52200,53900,0.4164,0.5836
Drexel University,Philadelphia,PA,www.drexel.edu,2,2,11,39.954855,-75.188745,16,16,0.7601,580,620,575,25,26,27,NULL,1186,56402,47051,47051,0.8401,71000,53100,59100,62900,60900,0.5296,0.4704
Duquesne University,Pittsburgh,PA,www.duq.edu,2,2,11,40.437496,-79.993046,16,14,0.7306,570,565,560,26,26,25,NULL,1144,43963,32636,32636,0.8958,63700,50700,57400,60300,61500,0.3907,0.6093
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,www4.esu.edu/,1,2,13,40.99622,-75.172614,19,13,0.8146,475,480,455,20,19,20,NULL,954,21947,9376,19826,0.7375,44300,33800,38400,40200,41700,0.4534,0.5466
Eastern University,Saint Davids,PA,www.eastern.edu/about/student-consumer-information,2,2,21,40.052306,-75.370268,18,14,0.6218,520,515,NULL,23,22,22,NULL,1038,40966,29680,29680,0.7833,46200,37300,42200,43900,47200,0.2869,0.7131
Edinboro University of Pennsylvania,Edinboro,PA,www.edinboro.edu/,1,2,31,41.869978,-80.126363,18,14,0.993,470,465,445,19,19,19,NULL,928,20026,9256,13249,0.6996,36800,27100,31900,32500,35500,0.4199,0.5801
Elizabethtown College,Elizabethtown,PA,www.etown.edu,2,2,21,40.150372,-76.594175,21,11,0.7082,565,565,540,25,25,25,NULL,1133,49314,39920,39920,0.7943,51900,42000,43700,47900,49200,0.3694,0.6306
Franklin and Marshall College,Lancaster,PA,WWW.FANDM.EDU,2,2,13,40.048045,-76.319037,21,11,0.3893,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60765,48514,48514,0.9089,60900,40400,47800,53500,62000,0.4899,0.5101
Gannon University,Erie,PA,www.gannon.edu,2,2,12,42.126111,-80.086258,18,13,0.7767,510,520,NULL,23,22,22,NULL,1037,38895,28368,28368,0.8353,52000,43200,45500,48900,50800,0.4285,0.5715
Geneva College,Beaver Falls,PA,www.geneva.edu,2,2,21,40.773474,-80.352545,19,11,0.7106,542,525,518,24,23,22,NULL,1072,35261,25220,25220,0.8413,43100,33600,39000,39400,40800,0.5007,0.4993
Gettysburg College,Gettysburg,PA,WWW.GETTYSBURG.EDU,2,2,13,39.836091,-77.234982,21,11,0.4543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58320,47480,47480,0.8862,59900,42600,47000,53200,58400,0.4756,0.5244
Gwynedd Mercy University,Gwynedd Valley,PA,www.gmercyu.edu/,2,2,21,40.197566,-75.238052,19,9,0.7638,475,485,465,21,NULL,NULL,NULL,961,41758,30460,30460,0.726,55600,48000,50700,50800,54600,0.2494,0.7506
Haverford College,Haverford,PA,www.haverford.edu,2,2,21,40.013368,-75.302562,21,11,0.2469,710,700,705,33,33,31,9,1422,61898,47214,47214,0.9697,69400,35100,56000,53100,58000,0.4701,0.5299
Holy Family University,Philadelphia,PA,www.holyfamily.edu,2,2,11,40.060414,-74.990365,18,9,0.7326,465,460,449,20,19,20,10,925,32954,28456,28456,0.7257,50000,44500,46500,50800,49400,0.2593,0.7407
Hussian College School of Art,Philadelphia,PA,www.hussianart.edu,3,2,11,39.952851,-75.147292,30,6,0.6522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23740,18200,18200,0.7333,31300,23200,24900,29400,33700,0.4684,0.5316
Immaculata University,Immaculata,PA,www.immaculata.edu,2,2,21,40.027963,-75.57063,17,9,0.7594,485,480,485,20,NULL,NULL,NULL,962,47048,32000,32000,0.7944,52400,43600,50500,49500,50300,0.2545,0.7455
Indiana University of Pennsylvania-Main Campus,Indiana,PA,www.iup.edu,1,2,32,40.615589,-79.159869,17,16,0.9473,480,480,455,20,NULL,NULL,NULL,958,22692,9470,20965,0.7454,40800,31300,35100,37500,39400,0.455,0.545
Juniata College,Huntingdon,PA,www.juniata.edu,2,2,32,40.499511,-78.015204,21,11,0.7417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49098,38630,38630,0.8798,48900,34300,42400,47300,47000,0.4621,0.5379
Keystone College,La Plume,PA,www.keystone.edu,2,2,21,41.558969,-75.777456,22,10,0.9205,460,460,430,20,18,19,NULL,921,32907,21900,21900,0.6468,33700,27700,28800,32000,33500,0.4116,0.5884
King's College,Wilkes-Barre,PA,www.kings.edu,2,2,13,41.248118,-75.878603,20,11,0.6727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42856,31816,31816,0.746,52900,41300,46100,49100,51800,0.5346,0.4654
Kutztown University of Pennsylvania,Kutztown,PA,www2.kutztown.edu/,1,2,31,40.513705,-75.785426,18,13,0.7967,485,480,465,20,19,20,NULL,960,23383,9099,19549,0.7345,43100,31500,35700,37000,41700,0.4414,0.5586
La Roche College,Pittsburgh,PA,www.laroche.edu,2,2,21,40.569777,-80.011977,22,10,0.9394,450,475,470,20,19,20,7,926,37094,25500,25500,0.7205,44000,34100,37300,36800,39700,0.4531,0.5469
La Salle University,Philadelphia,PA,www.lasalle.edu,2,2,11,40.038503,-75.152996,18,14,0.7823,500,495,NULL,21,NULL,NULL,NULL,994,48965,39800,39800,0.8059,55300,44500,48900,53200,54200,0.3717,0.6283
Lafayette College,Easton,PA,https://www.lafayette.edu/,2,2,21,40.700512,-75.209058,21,11,0.2975,630,670,635,29,30,29,9,1300,59750,46385,46385,0.9339,79700,51100,64700,64900,75400,0.531,0.469
