INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Anderson University,Anderson,SC,www.andersonuniversity.edu,2,5,13,34.515506,-82.640205,19,11,0.7152,520,490,519,23,24,22,NULL,1038,36824,23750,23750,0.7689,37200,29500,32600,33200,34200,0.3392,0.6608
Charleston Southern University,Charleston,SC,www.csuniv.edu,2,5,13,32.981986,-80.069288,19,10,0.5866,490,495,NULL,22,21,20,NULL,997,34528,22840,22840,0.6433,39600,29500,33600,34900,38200,0.374,0.626
Southern Wesleyan University,Central,SC,www.swu.edu,2,5,21,34.728068,-82.761586,18,10,0.6314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31774,22950,22950,0.7303,46200,38200,42000,41500,47200,0.3873,0.6127
College of Charleston,Charleston,SC,www.cofc.edu,1,5,12,32.783142,-79.937251,18,16,0.7802,570,560,NULL,25,26,24,NULL,1137,26228,10981,27971,0.79,45300,33800,36800,39800,43100,0.3711,0.6289
Citadel Military College of South Carolina,Charleston,SC,www.citadel.edu,1,5,12,32.796975,-79.961399,18,11,0.7554,540,550,500,23,23,23,NULL,1073,25442,11098,30706,0.8574,55800,41100,46800,50000,52700,0.9159,0.0841
Claflin University,Orangeburg,SC,www.claflin.edu,2,5,32,33.497367,-80.854368,21,11,0.4377,395,395,NULL,17,16,17,NULL,806,32305,15010,15010,0.7057,30900,23200,25800,26800,30900,0.3491,0.6509
Clemson University,Clemson,SC,www.clemson.edu,1,5,21,34.677329,-82.834463,15,16,0.5152,610,635,595,29,NULL,NULL,NULL,1261,26065,13446,31462,0.9227,56400,43700,45600,48700,52400,0.5338,0.4662
Coker College,Hartsville,SC,www.coker.edu,2,5,32,34.37709,-80.067713,22,10,0.509,504,505,NULL,21,NULL,NULL,NULL,992,32818,25536,25536,0.6426,35600,26600,30300,32100,35800,0.384,0.616
Columbia International University,Columbia,SC,www.ciu.edu,2,5,12,34.081233,-81.069502,19,8,0.3322,555,530,520,21,21,22,NULL,1035,32220,19480,19480,0.6931,32100,24600,27800,28500,29000,0.4891,0.5109
Columbia College,Columbia,SC,www.columbiasc.edu/,2,5,12,34.062923,-81.001369,19,10,0.7905,520,500,NULL,23,23,21,NULL,1033,38479,27350,27350,0.7402,33700,27100,30500,30800,34600,0.137,0.863
Converse College,Spartanburg,SC,www.converse.edu,2,5,13,34.956232,-81.918829,19,11,0.5348,535,505,NULL,23,24,22,NULL,1045,40977,16500,16500,0.7056,33200,24600,29000,29600,35400,0,1
Erskine College,Due West,SC,www.erskine.edu,2,5,42,34.330674,-82.390797,21,8,0.6057,500,520,485,22,22,21,NULL,1016,46843,31580,31580,0.6039,41200,26600,32800,34900,38200,0.5094,0.4906
Francis Marion University,Florence,SC,www.fmarion.edu,1,5,23,34.192277,-79.655515,20,13,0.5911,480,475,455,19,18,19,NULL,933,18828,9738,19004,0.6833,37100,29200,30200,32000,35600,0.3146,0.6854
Furman University,Greenville,SC,www.furman.edu,2,5,21,34.920785,-82.441473,21,11,0.6871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57276,44668,44668,0.8861,55600,37200,40300,48100,50600,0.4292,0.5708
Lander University,Greenwood,SC,www.lander.edu,1,5,32,34.201143,-82.166351,22,10,0.5778,465,475,445,20,20,20,7,936,21777,10418,19738,0.6802,35900,29100,31500,32400,34900,0.3146,0.6854
Limestone College,Gaffney,SC,www.limestone.edu,2,5,31,35.052919,-81.648033,22,10,0.52,505,520,NULL,22,20,21,NULL,1020,36085,23000,23000,0.6046,39500,32300,36100,36600,37800,0.4455,0.5545
Newberry College,Newberry,SC,www.newberry.edu,2,5,32,34.286201,-81.601966,22,11,0.5675,465,475,NULL,20,19,20,NULL,945,39983,24300,24300,0.7173,33900,28100,29000,30700,34000,0.5279,0.4721
North Greenville University,Tigerville,SC,www.ngu.edu,2,5,41,35.069758,-82.37026,20,11,0.5946,550,565,550,26,25,25,8,1152,29053,15510,15510,0.7714,31600,26100,26700,29600,31400,0.5254,0.4746
Presbyterian College,Clinton,SC,https://www.presby.edu,2,5,32,34.465697,-81.874408,21,11,0.5372,540,550,NULL,24,NULL,NULL,NULL,1090,46378,34828,34828,0.8311,46300,31400,36800,41300,42800,0.468,0.532
University of South Carolina-Aiken,Aiken,SC,web.usca.edu,1,5,21,33.572917,-81.767901,22,10,0.6546,485,485,NULL,21,NULL,NULL,NULL,970,19759,9602,18926,0.6599,40500,30600,35000,34700,39200,0.3715,0.6285
University of South Carolina-Beaufort,Bluffton,SC,www.uscb.edu,1,5,31,32.303308,-80.973595,22,9,0.5724,470,465,NULL,20,NULL,NULL,NULL,933,20389,9404,19424,0.5067,33900,30300,32400,35400,33300,0.3799,0.6201
University of South Carolina-Columbia,Columbia,SC,www.sc.edu/,1,5,12,33.998973,-81.026971,15,16,0.652,595,615,NULL,27,NULL,NULL,NULL,1217,24586,11158,29440,0.8792,50100,40100,43100,46000,48100,0.4589,0.5411
Coastal Carolina University,Conway,SC,www.coastal.edu,1,5,13,33.794722,-79.012635,18,13,0.636,495,505,NULL,21,NULL,NULL,NULL,996,21781,10320,23660,0.6689,40300,31100,34300,37200,38300,0.4615,0.5385
