INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Augustana University,Sioux Falls,SD,www.augie.edu,2,4,12,43.525939,-96.738507,22,11,0.6129,545,575,575,26,26,26,NULL,1162,37968,29214,29214,0.8038,45400,35000,38800,42500,45100,0.404,0.596
Black Hills State University,Spearfish,SD,www.bhsu.edu,1,4,32,44.495536,-103.870009,20,13,0.941,487,472,500,20,20,20,NULL,951,17034,7617,10097,0.6279,37500,30200,32700,35500,36000,0.3756,0.6244
Dakota State University,Madison,SD,dsu.edu,1,4,32,44.0127,-97.109609,20,10,0.842,498,495,NULL,22,21,21,NULL,1026,17913,7506,9986,0.6486,42300,33600,34800,37100,40000,0.6169,0.3831
Dakota Wesleyan University,Mitchell,SD,www.dwu.edu,2,4,33,43.695995,-98.030566,22,8,0.7343,510,525,NULL,23,22,22,NULL,1044,32693,23650,23650,0.6647,36900,32800,32400,36900,35700,0.4261,0.5739
Mount Marty College,Yankton,SD,www.mtmc.edu,2,4,33,42.874475,-97.409904,20,8,0.7236,NULL,NULL,NULL,21,20,21,NULL,990,34249,22892,22892,0.7009,37000,35000,33700,34600,35300,0.4054,0.5946
Northern State University,Aberdeen,SD,www.northern.edu,1,4,33,45.452555,-98.4837,20,10,0.8289,480,475,NULL,22,21,22,NULL,1025,18137,7563,10042,0.684,37500,32100,31500,33000,34500,0.4282,0.5718
Presentation College,Aberdeen,SD,www.presentation.edu,2,4,33,45.482833,-98.49077,26,6,0.5695,440,480,NULL,21,19,21,NULL,980,28361,17875,17875,0.5289,38200,34100,34300,34300,37300,0.3589,0.6411
South Dakota School of Mines and Technology,Rapid City,SD,www.sdsmt.edu,1,4,13,44.075439,-103.205753,27,11,0.8802,545,610,580,26,24,27,NULL,1181,20994,10040,13560,0.7671,56800,51400,48500,52800,53100,0.8031,0.1969
South Dakota State University,Brookings,SD,www.sdstate.edu/,1,4,33,44.31942,-96.783415,16,16,0.9201,495,535,NULL,23,22,23,NULL,1068,19330,7713,10485,0.7698,45700,38400,40400,43600,43700,0.4769,0.5231
University of Sioux Falls,Sioux Falls,SD,www.usiouxfalls.edu/,2,4,12,43.531574,-96.738229,19,11,0.9724,495,490,NULL,22,22,22,NULL,1028,35298,25480,25480,0.7246,40900,33100,35700,38700,38700,0.3909,0.6091
University of South Dakota,Vermillion,SD,WWW.USD.EDU,1,4,32,42.784558,-96.924664,16,13,0.8882,420,540,460,23,23,22,NULL,1044,19695,8022,10794,0.7445,46500,37400,38700,41300,42500,0.3707,0.6293
