INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Aquinas College,Nashville,TN,www.aquinascollege.edu,2,5,11,36.132187,-86.844214,26,6,0.6104,636,485,NULL,25,27,22,NULL,1123,33543,20550,20550,0.7368,50900,42200,44700,45400,49100,0.2094,0.7906
Austin Peay State University,Clarksville,TN,www.apsu.edu,1,5,12,36.533319,-87.354081,18,12,0.8927,458,498,NULL,22,22,20,NULL,1010,19386,7168,21664,0.7242,37700,29600,32100,33400,36400,0.4086,0.5914
Baptist Memorial College of Health Sciences,Memphis,TN,www.bchs.edu,2,5,11,35.138415,-90.027501,26,6,0.5373,NULL,NULL,NULL,24,25,23,NULL,1110,19085,10412,10412,0.7273,54800,49400,50700,50400,55200,0.0873,0.9127
Belmont University,Nashville,TN,www.belmont.edu,2,5,11,36.133866,-86.794715,18,14,0.8272,580,580,NULL,26,28,26,NULL,1176,43030,28660,28660,0.8278,46600,36200,39500,42000,42100,0.3858,0.6142
Bethel University,McKenzie,TN,www.bethelu.edu/,2,5,32,36.139271,-88.516162,18,12,0.5742,NULL,465,423,20,19,19,NULL,930,29309,15714,15714,0.5551,41300,35800,39300,37700,41900,0.4347,0.5653
Bryan College-Dayton,Dayton,TN,www.bryan.edu,2,5,32,35.495721,-85.016596,20,11,0.4842,525,515,515,23,24,22,8,1065,30569,22200,22200,0.5936,39400,36800,37600,38700,40500,0.444,0.556
Carson-Newman University,Jefferson City,TN,www.cn.edu,2,5,23,36.122224,-83.492183,19,11,0.624,514,512,NULL,24,25,22,NULL,1083,33563,24460,24460,0.705,41000,30500,32400,34700,38700,0.4356,0.5644
Christian Brothers University,Memphis,TN,www.cbu.edu,2,5,11,35.127437,-89.983241,19,11,0.4971,NULL,NULL,NULL,24,23,26,NULL,1105,37216,29190,29190,0.8397,51300,34900,41600,41900,49400,0.4481,0.5519
Cumberland University,Lebanon,TN,www.cumberland.edu,2,5,31,36.204243,-86.29966,19,10,0.4642,475,500,450,23,22,21,6,1044,33764,20200,20200,0.6179,40200,34300,36300,37800,37000,0.413,0.587
Lipscomb University,Nashville,TN,www.lipscomb.edu,2,5,11,36.10469,-86.799304,17,14,0.5558,575,569,NULL,26,27,25,NULL,1175,38772,27390,27390,0.8044,43700,34500,36100,41200,43800,0.393,0.607
