INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Abilene Christian University,Abilene,TX,www.acu.edu,2,6,12,32.46915,-99.70954,18,13,0.5047,530,545,565,24,24,24,7,1091,41606,29450,29450,0.7515,45800,34500,37500,39800,42900,0.4236,0.5764
Angelo State University,San Angelo,TX,www.angelo.edu,1,6,13,31.44145,-100.466495,18,12,0.8244,475,490,450,21,20,20,NULL,976,18915,6856,15544,0.6239,42800,34000,35500,39100,40500,0.4584,0.5416
Austin College,Sherman,TX,www.austincollege.edu,2,6,13,33.646307,-96.598772,21,11,0.5438,600,595,580,25,NULL,NULL,NULL,1159,47404,33840,33840,0.8626,54300,35800,42300,43900,49900,0.4843,0.5157
Baylor University,Waco,TX,www.baylor.edu,2,6,12,31.545956,-97.119359,16,16,0.5536,610,620,585,27,28,27,8,1227,53797,38120,38120,0.8855,54700,40200,44000,48000,52900,0.4197,0.5803
Concordia University-Texas,Austin,TX,www.concordia.edu,2,6,11,30.420952,-97.836247,18,9,0.8529,500,515,477,22,20,22,NULL,1021,37413,26960,26960,0.6667,44700,40900,38900,44100,45100,0.3593,0.6407
Texas A & M University-Corpus Christi,Corpus Christi,TX,www.tamucc.edu,1,6,11,27.718601,-97.331933,17,12,0.8462,480,490,460,21,19,21,7,970,18745,7655,16283,0.5567,46500,35900,38300,41500,45400,0.4145,0.5855
Dallas Baptist University,Dallas,TX,www.dbu.edu,2,6,11,32.710017,-96.947006,17,13,0.4621,558,551,NULL,23,NULL,NULL,NULL,1075,34013,23650,23650,0.7234,45700,39200,42000,43700,45300,0.4197,0.5803
Dallas Christian College,Dallas,TX,www.dallas.edu,2,6,21,32.913698,-96.887124,24,7,0.3796,476,498,484,22,20,22,NULL,996,25837,15492,15492,0.3256,43200,33400,38200,41800,45700,0.5696,0.4304
University of Dallas,Irving,TX,www.udallas.edu,2,6,12,32.846202,-96.921573,18,11,0.8513,615,585,580,27,28,26,8,1211,48274,34430,34430,0.8,48800,37300,37600,44600,47500,0.4486,0.5514
East Texas Baptist University,Marshall,TX,www.etbu.edu,2,6,32,32.554545,-94.374337,22,11,0.5599,465,490,NULL,20,19,20,NULL,952,31716,23280,23280,0.6118,41600,33400,36700,38500,40700,0.4818,0.5182
Texas A & M University-Texarkana,Texarkana,TX,www.tamut.edu,1,6,41,33.49561,-94.10398,19,10,0.4755,430,420,440,19,18,19,6,897,13942,6059,15235,0.5641,36000,33500,35600,35900,39700,0.3802,0.6198
Texas A & M University-Commerce,Commerce,TX,www.tamuc.edu/,1,6,32,33.243814,-95.906913,16,13,0.4784,455,435,NULL,20,19,20,NULL,909,17241,5892,14580,0.6772,39900,32200,36700,36000,37300,0.4049,0.5951
Hardin-Simmons University,Abilene,TX,www.hsutx.edu,2,6,12,32.476786,-99.733815,19,10,0.568,508,515,490,23,22,22,NULL,1037,32694,22350,22350,0.6392,44800,35900,39600,40800,43900,0.4829,0.5171
Houston Baptist University,Houston,TX,www.hbu.edu,2,6,11,29.694414,-95.515978,19,10,0.3573,525,530,500,23,22,22,7,1054,36782,28800,28800,0.6631,46400,39600,41200,43600,45500,0.3883,0.6117
University of Houston-Downtown,Houston,TX,www.uhd.edu,1,6,11,29.763831,-95.35953,20,12,0.8417,430,470,NULL,18,16,19,NULL,894,15912,5516,14204,0.6574,46700,38500,39400,41400,44700,0.4002,0.5998
