INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Averett University,Danville,VA,www.averett.edu,2,5,32,36.577273,-79.413214,22,8,0.5964,460,469,NULL,19,NULL,NULL,NULL,923,37868,29150,29150,0.5489,48300,39100,41400,42300,47900,0.4809,0.5191
Bluefield College,Bluefield,VA,www.bluefield.edu,2,5,32,37.245681,-81.244879,22,8,0.9799,450,455,NULL,19,18,19,NULL,907,34823,22840,22840,0.6,45700,39000,44100,44300,46200,0.4314,0.5686
Bridgewater College,Bridgewater,VA,www.bridgewater.edu/about-us,2,5,23,38.378391,-78.969011,21,11,0.4782,520,525,490,24,24,23,NULL,1056,42376,30380,30380,0.7407,43500,33100,36500,39700,44400,0.4627,0.5373
College of William and Mary,Williamsburg,VA,www.wm.edu,1,5,23,37.271997,-76.709417,16,14,0.3302,685,685,670,31,32,30,8,1373,28329,17656,39916,0.9526,67000,46400,51700,59300,65400,0.4375,0.5625
Regent University,Virginia Beach,VA,www.regent.edu,2,5,11,36.800929,-76.192844,17,12,0.7982,550,515,NULL,23,24,22,NULL,1066,27182,16478,16478,0.7793,51200,33700,43300,40700,51000,0.3902,0.6098
Christopher Newport University,Newport News,VA,www.cnu.edu,1,5,12,37.059919,-76.488408,20,14,0.5588,580,575,NULL,25,NULL,NULL,NULL,1152,25559,11646,21974,0.8698,45800,35500,38900,43000,43300,0.4272,0.5728
Emory & Henry College,Emory,VA,www.ehc.edu,2,5,41,36.772543,-81.831737,21,11,0.7172,498,490,470,22,21,21,NULL,995,41251,30326,30326,0.7348,43000,29100,34400,36500,40400,0.5055,0.4945
Eastern Mennonite University,Harrisonburg,VA,www.emu.edu,2,5,13,38.478611,-78.876077,20,11,0.6044,495,500,NULL,22,21,21,NULL,1003,40024,30800,30800,0.75,42900,36600,37300,39900,42200,0.3464,0.6536
Ferrum College,Ferrum,VA,www.ferrum.edu,2,5,42,36.926648,-80.020864,22,11,0.7331,410,430,431,20,18,20,NULL,852,40553,29795,29795,0.4801,38100,28400,31900,33300,36000,0.528,0.472
George Mason University,Fairfax,VA,www.gmu.edu,1,5,21,38.83088,-77.30794,15,16,0.6665,570,580,NULL,26,26,25,NULL,1152,23212,10382,29960,0.876,61700,45500,52300,55400,59300,0.4857,0.5143
Hampden-Sydney College,Hampden-Sydney,VA,www.hsc.edu,2,5,42,37.242482,-78.461371,21,11,0.4727,548,555,515,24,24,24,NULL,1098,52016,39204,39204,0.8322,55300,36900,41700,45700,53200,0.9982,0.0018
Hampton University,Hampton,VA,www.hamptonu.edu,2,5,12,37.0199,-76.331108,19,14,0.2906,505,500,350,21,23,21,5,999,33798,21760,21760,0.8021,46100,37800,39800,43300,45100,0.3461,0.6539
Hollins University,Roanoke,VA,www.hollins.edu,2,5,22,37.354629,-79.942196,21,8,0.5647,565,515,NULL,24,NULL,NULL,NULL,1082,47787,34295,34295,0.8014,35300,25400,28700,32300,37400,0,1
James Madison University,Harrisonburg,VA,www.jmu.edu/,1,5,13,38.435332,-78.871663,18,16,0.6573,565,575,NULL,26,NULL,NULL,NULL,1153,22601,9662,24522,0.9238,58900,41800,48700,53100,57300,0.4104,0.5896
Liberty University,Lynchburg,VA,www.liberty.edu,2,5,13,37.350345,-79.179688,17,16,0.2232,525,510,505,23,23,22,NULL,1040,32077,21000,21000,0.691,40200,32700,33500,35600,39400,0.4136,0.5864
Longwood University,Farmville,VA,www.longwood.edu,1,5,33,37.301073,-78.395789,19,14,0.7292,510,500,NULL,21,NULL,NULL,NULL,1005,23468,11580,25350,0.7884,42700,33300,37100,38300,42100,0.3418,0.6582
Lynchburg College,Lynchburg,VA,www.lynchburg.edu,2,5,13,37.397678,-79.184153,19,11,0.6675,505,490,480,22,NULL,NULL,NULL,998,44236,34545,34545,0.7012,46500,32900,38900,40000,44800,0.4069,0.5931
Mary Baldwin College,Staunton,VA,www.mbc.edu,2,5,13,38.155724,-79.067741,19,10,0.9545,500,470,480,22,NULL,NULL,NULL,979,40203,29595,29595,0.7281,39000,29100,36600,35600,37600,0.0617,0.9383
University of Mary Washington,Fredericksburg,VA,www.umw.edu,1,5,22,38.302206,-77.474392,18,14,0.7672,565,545,550,25,24,23,NULL,1114,23371,10312,23598,0.7799,55200,38400,44300,46700,51800,0.3528,0.6472
Marymount University,Arlington,VA,www.marymount.edu,2,5,12,38.905552,-77.128799,18,10,0.8396,505,500,NULL,21,20,20,NULL,1001,41008,27470,27470,0.806,53400,44300,49100,48700,52100,0.3453,0.6547
Norfolk State University,Norfolk,VA,www.nsu.edu,1,5,12,36.848262,-76.26393,19,13,0.6567,440,430,415,18,NULL,NULL,NULL,866,19299,7552,20236,0.7409,36700,28500,32300,33700,36300,0.3598,0.6402
Old Dominion University,Norfolk,VA,www.odu.edu,1,5,12,36.884919,-76.309653,16,15,0.8189,510,510,NULL,21,20,21,NULL,1007,20966,8970,25140,0.8052,47100,36800,41000,42000,46200,0.4583,0.5417
Radford University,Radford,VA,www.radford.edu,1,5,13,37.136914,-80.549731,18,13,0.7891,490,485,475,20,NULL,NULL,NULL,968,20582,9360,22046,0.7462,47000,35800,39600,41100,45200,0.4416,0.5584
Randolph-Macon College,Ashland,VA,www.rmc.edu,2,5,21,37.749654,-77.472253,21,11,0.6034,545,540,530,24,24,24,NULL,1086,47262,36340,36340,0.7696,50500,35900,40600,45900,48800,0.4568,0.5432
Randolph College,Lynchburg,VA,www.randolphcollege.edu,2,5,13,37.437429,-79.17079,21,8,0.8101,540,535,520,25,NULL,NULL,NULL,1086,46060,34110,34110,0.7407,40800,28100,34100,33000,40800,0.3571,0.6429
University of Richmond,University of Richmond,VA,www.richmond.edu,2,5,12,37.577625,-77.538702,21,14,0.318,655,670,652,31,NULL,NULL,NULL,1337,57535,46680,46680,0.9403,72700,46500,57100,62900,71900,0.4691,0.5309
Roanoke College,Salem,VA,www.roanoke.edu,2,5,22,37.29686,-80.056433,21,11,0.6932,550,545,535,23,24,22,7,1087,50487,38177,38177,0.7967,50500,34700,39900,42000,43700,0.4068,0.5932
