INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Bennington College,Bennington,VT,www.bennington.edu,2,1,32,42.92004,-73.237498,21,8,0.6721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61920,46667,46667,0.8357,28600,22800,27200,30900,27800,0.3328,0.6672
Burlington College,Burlington,VT,www.burlington.edu,2,1,13,44.49116,-73.228261,21,6,0.7839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34048,23581,23581,0.4688,30700,21400,29000,30000,28100,0.5393,0.4607
Castleton University,Castleton,VT,www.castleton.edu,1,1,32,43.607982,-73.181486,22,11,0.9164,480,490,470,20,20,20,NULL,967,21255,10772,25436,0.7292,36900,30900,31900,34300,36300,0.4799,0.5201
Champlain College,Burlington,VT,www.champlain.edu,2,1,13,44.47295,-73.204354,19,10,0.6417,575,565,545,26,25,25,NULL,1150,47556,33000,33000,0.8047,44500,37500,38200,44400,41300,0.5973,0.4027
Green Mountain College,Poultney,VT,www.greenmtn.edu,2,1,42,43.517134,-73.241107,20,8,0.6835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45906,33736,33736,0.694,32500,23300,26100,27800,30600,0.4857,0.5143
Johnson State College,Johnson,VT,www.jsc.edu,1,1,42,44.641736,-72.671154,20,10,0.9546,475,460,460,22,21,22,NULL,941,20913,10604,22604,0.7366,34300,26500,29600,30000,33700,0.3551,0.6449
Lyndon State College,Lyndonville,VT,WWW.LYNDONSTATE.EDU,1,1,33,44.53433,-72.024563,22,11,0.9914,470,470,450,19,17,19,NULL,937,20369,10700,21764,0.6122,35500,26600,30000,30200,34000,0.6035,0.3965
Marlboro College,Marlboro,VT,www.marlboro.edu,2,1,42,42.839603,-72.736552,21,8,0.816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51660,38110,38110,0.6739,32600,24800,22600,27100,34400,0.4874,0.5126
Middlebury College,Middlebury,VT,www.middlebury.edu,2,1,32,44.009117,-73.176068,21,11,0.1717,680,685,700,32,NULL,NULL,NULL,1379,59470,46044,46044,0.9568,73100,50800,56300,59000,76000,0.486,0.514
Norwich University,Northfield,VT,www.norwich.edu,2,1,32,44.139402,-72.660129,18,14,0.6574,520,525,495,23,22,23,NULL,1053,49516,34704,34704,0.7093,51800,38800,42000,47100,45600,0.8495,0.1505
Saint Michael's College,Colchester,VT,www.smcvt.edu,2,1,22,44.494212,-73.163136,21,11,0.8046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50806,39375,39375,0.8972,50900,37700,41600,45800,48400,0.449,0.551
College of St Joseph,Rutland,VT,www.csj.edu,2,1,32,43.599777,-73.007033,22,7,0.6558,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33800,21200,21200,0.6552,35900,29400,35800,34100,36900,0.5478,0.4522
Southern Vermont College,Bennington,VT,www.svc.edu,2,1,41,42.867031,-73.21866,22,8,0.9373,430,425,420,17,15,18,NULL,849,35500,22645,22645,0.6087,37800,31500,33200,34900,37300,0.3855,0.6145
Vermont Technical College,Randolph Center,VT,www.vtc.edu,1,1,43,43.939321,-72.605179,23,10,0.8319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23703,12860,23708,0.7539,45300,38700,39700,40700,43000,0.5247,0.4753
University of Vermont,Burlington,VT,www.uvm.edu,1,1,13,44.479262,-73.198128,16,17,0.7344,590,595,590,27,27,27,9,1191,28348,16226,37874,0.8699,51300,37300,41400,44500,47400,0.4499,0.5501
Landmark College,Putney,VT,www.landmark.edu,2,1,42,42.977172,-72.512549,14,8,0.8619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64830,50080,50080,0.6905,30700,20400,22400,26300,26600,0.728,0.272
