INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Central Washington University,Ellensburg,WA,www.cwu.edu,1,8,32,47.004957,-120.537716,18,16,0.8646,485,490,460,21,20,21,8,978,21512,9017,21380,0.7887,47400,36200,40300,42200,45500,0.4904,0.5096
Cornish College of the Arts,Seattle,WA,www.cornish.edu,2,8,11,47.617883,-122.33614,30,7,0.8552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48147,35800,35800,0.6928,32000,23900,26000,27900,31600,0.3595,0.6405
Eastern Washington University,Cheney,WA,www.ewu.edu,1,8,31,47.491293,-117.589371,18,15,0.7439,475,485,455,20,19,21,7,958,20365,7972,21066,0.7747,44500,34700,38500,40000,42800,0.4565,0.5435
The Evergreen State College,Olympia,WA,www.evergreen.edu,1,8,22,47.07382,-122.977492,19,12,0.989,545,495,510,23,24,21,7,1043,22281,8682,21735,0.6942,35500,26800,29800,31100,32900,0.4574,0.5426
Gonzaga University,Spokane,WA,www.gonzaga.edu,2,8,12,47.668144,-117.403062,18,14,0.6751,590,605,NULL,27,NULL,NULL,NULL,1207,48357,36535,36535,0.924,58800,43400,48200,52200,55100,0.4638,0.5362
Northwest University,Kirkland,WA,www.northwestu.edu,2,8,21,47.657743,-122.191505,19,10,0.9612,517,496,505,22,22,22,NULL,1018,35991,26968,26968,0.7363,40900,34200,37400,40200,43600,0.424,0.576
Pacific Lutheran University,Tacoma,WA,www.plu.edu,2,8,21,47.145494,-122.445372,19,13,0.7501,550,545,530,26,NULL,NULL,NULL,1115,46717,36530,36530,0.8151,50400,37100,43600,44900,47400,0.3713,0.6287
University of Puget Sound,Tacoma,WA,www.pugetsound.edu,2,8,12,47.263651,-122.479714,21,11,0.7929,620,600,NULL,28,28,27,NULL,1230,55948,43428,43428,0.8731,55700,37700,42300,46400,52100,0.4306,0.5694
Saint Martin's University,Lacey,WA,www.stmartin.edu,2,8,22,47.043316,-122.816948,19,10,0.8882,513,533,508,24,NULL,NULL,NULL,1057,42353,31688,31688,0.8038,49500,37900,40700,43700,48900,0.4886,0.5114
Seattle Pacific University,Seattle,WA,www.spu.edu,2,8,11,47.649338,-122.362923,17,14,0.834,575,563,555,25,26,25,NULL,1140,47389,35472,35472,0.8497,50100,36700,39500,44000,47500,0.3314,0.6686
Seattle University,Seattle,WA,www.seattleu.edu,2,8,11,47.610138,-122.3197,18,13,0.7335,585,585,580,27,25,24,9,1183,52458,38205,38205,0.8695,59800,45700,49700,52700,55700,0.4116,0.5884
Walla Walla University,College Place,WA,www.wallawalla.edu,2,8,23,46.047,-118.389771,19,11,0.5779,540,540,505,23,23,22,7,1075,35351,25866,25866,0.7948,49600,37700,42100,44400,46600,0.4979,0.5021
Washington State University,Pullman,WA,wsu.edu/,1,8,32,46.730448,-117.158168,15,16,0.8208,510,520,495,22,22,22,7,1030,26543,12428,25510,0.8011,52800,40800,45800,48300,50200,0.4881,0.5119
University of Washington-Seattle Campus,Seattle,WA,www.washington.edu,1,8,11,47.656213,-122.313115,15,15,0.5521,590,640,580,28,28,29,9,1240,25637,12394,33513,0.9414,64000,47900,52100,57200,57500,0.479,0.521
Western Washington University,Bellingham,WA,www.wwu.edu,1,8,13,48.737236,-122.484873,18,16,0.8457,555,550,525,25,24,24,NULL,1110,22458,8965,20407,0.826,47100,33600,38500,41400,44000,0.4462,0.5538
Whitman College,Walla Walla,WA,www.whitman.edu,2,8,13,46.07135,-118.33016,21,11,0.4101,660,655,655,30,NULL,NULL,9,1323,56600,44800,44800,0.9413,52700,32300,37700,43600,47500,0.4372,0.5628
Whitworth University,Spokane,WA,www.whitworth.edu,2,8,21,47.753699,-117.418078,20,11,0.7476,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47538,37630,37630,0.848,45700,34900,37000,39400,42400,0.406,0.594
University of Washington-Bothell Campus,Bothell,WA,www.uwb.edu,1,8,21,47.760718,-122.191454,18,12,0.7915,490,525,485,21,19,22,7,1009,22747,11911,33030,0.8303,64000,47900,52100,57200,57500,0.5007,0.4993
University of Washington-Tacoma Campus,Tacoma,WA,www.tacoma.uw.edu/,1,8,12,47.244967,-122.437499,18,12,0.8452,485,495,460,21,20,21,7,979,22120,12262,33381,0.7143,64000,47900,52100,57200,57500,0.4815,0.5185
