INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Alverno College,Milwaukee,WI,www.alverno.edu,2,3,11,42.983518,-87.965498,19,9,0.6519,NULL,NULL,NULL,20,20,19,NULL,930,32528,24434,24434,0.7376,39600,36500,36900,37700,40800,0.0006,0.9994
Bellin College,Green Bay,WI,www.bellincollege.edu,2,3,41,44.468277,-87.921722,26,6,0.4865,NULL,NULL,NULL,23,23,23,NULL,1050,25605,20500,20500,0.878,55900,49000,55200,56200,56400,0.0852,0.9148
Beloit College,Beloit,WI,www.beloit.edu,2,3,13,42.50363,-89.03147,21,11,0.6931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50378,42500,42500,0.8462,40900,27900,35500,39100,37400,0.4245,0.5755
Cardinal Stritch University,Milwaukee,WI,www.stritch.edu,2,3,21,43.139752,-87.909045,17,12,0.8298,465,480,NULL,22,21,22,NULL,1003,37755,26570,26570,0.7179,53000,47000,48800,50200,53800,0.3429,0.6571
Carroll University,Waukesha,WI,www.carrollu.edu,2,3,13,43.004647,-88.227962,20,14,0.8084,527,542,485,24,23,24,8,1090,39312,28550,28550,0.7906,44700,36200,38800,41600,45300,0.3524,0.6476
Carthage College,Kenosha,WI,www.carthage.edu,2,3,22,42.622893,-87.820706,21,11,0.7165,535,545,NULL,24,25,23,NULL,1104,47276,36570,36570,0.7955,46400,34800,41000,42300,43200,0.4646,0.5354
Concordia University-Wisconsin,Mequon,WI,www.cuw.edu,2,3,21,43.254217,-87.916628,18,13,0.7541,530,522,483,24,23,23,NULL,1089,38159,26160,26160,0.7448,44800,38800,41500,41500,42800,0.3484,0.6516
Edgewood College,Madison,WI,www.edgewood.edu,2,3,12,43.058727,-89.422122,17,10,0.7622,360,565,NULL,23,23,23,NULL,1048,36879,25590,25590,0.8087,45600,38200,42000,42600,44100,0.2893,0.7107
Lakeland College,Plymouth,WI,www.lakeland.edu,2,3,41,43.841863,-87.884956,18,9,0.547,440,452,448,20,19,20,7,949,34385,24090,24090,0.6869,43000,35600,38800,39000,41600,0.4328,0.5672
Lawrence University,Appleton,WI,www.lawrence.edu,2,3,13,44.261323,-88.397822,21,11,0.7295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51897,42657,42657,0.9005,44700,30500,34100,40500,40800,0.4558,0.5442
Maranatha Baptist University,Watertown,WI,www.mbu.edu,2,3,31,43.195709,-88.735055,22,8,0.7594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24021,13510,13510,0.7573,33700,27700,29300,34000,33700,0.45,0.55
Marian University,Fond Du Lac,WI,www.marianuniversity.edu,2,3,13,43.777411,-88.420638,19,10,0.7674,NULL,NULL,NULL,20,19,20,NULL,950,34276,25930,25930,0.7339,41400,38400,39700,41600,42000,0.296,0.704
Marquette University,Milwaukee,WI,www.marquette.edu,2,3,11,43.03903,-87.927961,16,17,0.6671,590,605,570,27,27,27,9,1220,48364,35930,35930,0.8864,63500,51200,54000,59500,61800,0.4763,0.5237
Milwaukee Institute of Art & Design,Milwaukee,WI,www.miad.edu,2,3,11,43.030917,-87.907925,30,7,0.5908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41631,32050,32050,0.758,34400,28400,28000,31800,32500,0.3296,0.6704
Milwaukee School of Engineering,Milwaukee,WI,www.msoe.edu,2,3,11,43.045364,-87.907691,20,10,0.6865,565,630,NULL,28,26,29,NULL,1243,45260,35520,35520,0.8234,66300,53500,55900,59600,62700,0.762,0.238
Mount Mary University,Milwaukee,WI,www.mtmary.edu/,2,3,11,43.072303,-88.030594,19,9,0.3527,NULL,NULL,NULL,20,20,19,NULL,930,34931,25852,25852,0.7788,39900,35200,38800,39500,39400,0,1
Northland College,Ashland,WI,www.northland.edu,2,3,33,46.578983,-90.874991,21,8,0.6343,544,520,NULL,24,23,23,NULL,1085,40765,31480,31480,0.6571,34200,24200,28000,30000,32200,0.5043,0.4957
Ripon College,Ripon,WI,www.ripon.edu,2,3,32,43.842383,-88.8426,21,8,0.6745,565,575,565,24,24,24,7,1108,42703,33482,33482,0.8445,44100,32500,37500,41100,42400,0.4646,0.5354
Saint Norbert College,De Pere,WI,www.snc.edu,2,3,22,44.444651,-88.067301,21,11,0.8171,NULL,NULL,NULL,25,25,25,8,1125,41736,33023,33023,0.8386,49900,36100,39500,41900,47700,0.4293,0.5707
Silver Lake College of the Holy Family,Manitowoc,WI,www.sl.edu/,2,3,32,44.071038,-87.742961,20,7,0.474,NULL,NULL,NULL,17,16,17,6,820,34641,24350,24350,0.725,40700,34200,35700,35200,40900,0.3176,0.6824
Viterbo University,La Crosse,WI,www.viterbo.edu,2,3,13,43.802291,-91.244095,18,10,0.6914,535,510,NULL,24,23,23,NULL,1089,34310,23790,23790,0.7129,43800,38300,39500,41300,43100,0.265,0.735
University of Wisconsin-Whitewater,Whitewater,WI,www.uww.edu,1,3,32,42.835563,-88.742368,18,16,0.8179,495,480,485,23,22,22,7,1050,16950,7600,15173,0.8049,44500,33700,37900,39300,42300,0.5002,0.4998
University of Wisconsin-Eau Claire,Eau Claire,WI,www.uwec.edu,1,3,13,44.798431,-91.500432,19,13,0.8369,NULL,NULL,NULL,24,24,24,8,1110,18013,8743,16316,0.8237,46500,37200,39900,42400,45300,0.4053,0.5947
University of Wisconsin-Green Bay,Green Bay,WI,www.uwgb.edu,1,3,12,44.531102,-87.920499,20,13,0.8735,NULL,NULL,NULL,23,23,22,7,1050,17072,7758,15331,0.7762,40400,33200,36200,38800,40100,0.3386,0.6614
University of Wisconsin-La Crosse,La Crosse,WI,www.uwlax.edu,1,3,13,43.815295,-91.230149,18,16,0.7629,NULL,NULL,NULL,25,24,25,8,1145,17828,8795,16368,0.8561,48300,37300,41400,44300,46000,0.4348,0.5652
Wisconsin Lutheran College,Milwaukee,WI,wlc.edu,2,3,11,43.036943,-88.022718,22,11,0.6432,475,525,NULL,24,24,24,NULL,1079,35337,25960,25960,0.7031,40000,33400,34200,35400,37800,0.4547,0.5453
University of Wisconsin-Oshkosh,Oshkosh,WI,www.uwosh.edu,1,3,13,44.024985,-88.549282,18,16,0.8034,NULL,NULL,NULL,22,22,22,NULL,1030,17260,7437,15010,0.7821,43000,35200,37500,39300,41600,0.4256,0.5744
University of Wisconsin-Parkside,Kenosha,WI,https://www.uwp.edu,1,3,22,42.646074,-87.855407,21,12,0.8602,NULL,NULL,NULL,21,21,20,7,990,15502,7326,14899,0.7376,40500,30300,35800,35900,38800,0.481,0.519
University of Wisconsin-Stout,Menomonie,WI,www.uwstout.edu,1,3,32,44.88861,-91.929461,18,13,0.908,NULL,NULL,NULL,23,22,22,NULL,1050,18461,9025,16771,0.7585,45900,36700,40000,42000,43900,0.535,0.465
University of Wisconsin-Superior,Superior,WI,www.uwsuper.edu,1,3,22,46.717548,-92.089039,22,10,0.8857,NULL,NULL,NULL,22,21,21,7,1010,16780,7994,15567,0.7327,37100,31300,30700,33300,35700,0.3969,0.6031
University of Wisconsin-Madison,Madison,WI,www.wisc.edu,1,3,12,43.073858,-89.405356,15,16,0.5694,610,680,635,29,29,29,9,1286,23839,10410,26660,0.9537,60700,45900,52700,57600,56900,0.4888,0.5112
University of Wisconsin-Milwaukee,Milwaukee,WI,www.uwm.edu,1,3,11,43.076848,-87.880488,15,15,0.8955,NULL,NULL,NULL,22,21,21,7,1010,20715,9391,19120,0.7017,45400,35200,38700,41000,43000,0.4907,0.5093
University of Wisconsin-Platteville,Platteville,WI,www.uwplatt.edu,1,3,32,42.733936,-90.492709,18,13,0.944,NULL,NULL,NULL,24,22,24,NULL,1090,17333,7491,15064,0.7785,49000,38300,42200,43900,46000,0.6538,0.3462
University of Wisconsin-River Falls,River Falls,WI,www.uwrf.edu,1,3,32,44.852647,-92.625316,19,13,0.8954,NULL,NULL,NULL,23,22,22,7,1050,17182,7751,15324,0.7573,43300,33400,36200,38100,40600,0.3934,0.6066
University of Wisconsin-Stevens Point,Stevens Point,WI,www.uwsp.edu,1,3,32,44.529582,-89.570934,20,13,0.8941,NULL,NULL,NULL,23,22,22,7,1050,16411,7668,15241,0.7765,40900,31100,35600,37700,40200,0.4757,0.5243
