INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
Alderson Broaddus University,Philippi,WV,www.ab.edu/,2,5,32,39.158067,-80.047728,22,11,0.4258,475,485,460,22,20,21,6,990,33206,22740,22740,0.5639,48500,34500,41700,42900,45500,0.5186,0.4814
Appalachian Bible College,Mount Hope,WV,www.abc.edu,2,5,41,37.853339,-81.20115,24,8,0.6914,514,487,492,22,22,18,NULL,1007,23948,13590,13590,0.7292,34400,26100,25700,26100,28800,0.5204,0.4796
Bethany College,Bethany,WV,www.bethanywv.edu,2,5,41,40.20567,-80.560896,21,8,0.6205,440,440,415,20,19,19,NULL,906,39082,25736,25736,0.7,43200,28000,34600,36300,44100,0.588,0.412
Bluefield State College,Bluefield,WV,www.bluefieldstate.edu,1,5,32,37.26688,-81.235428,22,9,0.3834,445,460,330,20,19,19,NULL,927,14965,5832,11064,0.6013,32700,29100,29700,29400,32200,0.3852,0.6148
University of Charleston,Charleston,WV,www.ucwv.edu,2,5,13,38.332577,-81.618667,20,10,0.6077,484,500,NULL,21,20,20,NULL,988,31350,23200,23200,0.6125,43700,36300,40000,40700,42400,0.4223,0.5777
Concord University,Athens,WV,www.concord.edu,1,5,32,37.423854,-81.005694,20,10,0.3776,475,485,455,22,22,20,7,999,13861,6580,14276,0.6667,35300,28200,29500,31000,34300,0.4476,0.5524
Davis & Elkins College,Elkins,WV,www.dewv.edu,2,5,33,38.928693,-79.846391,21,8,0.5822,485,490,NULL,21,21,20,NULL,986,34587,27492,27492,0.7005,38100,32200,35400,35500,36600,0.4696,0.5304
Fairmont State University,Fairmont,WV,www.fairmontstate.edu/,1,5,32,39.485925,-80.161844,20,12,0.6651,465,470,NULL,21,20,19,NULL,965,15483,6306,13306,0.6356,37200,30300,31900,32900,36100,0.4512,0.5488
Glenville State College,Glenville,WV,www.glenville.edu,1,5,33,38.935341,-80.833597,22,10,0.4656,430,430,NULL,19,19,19,NULL,900,20317,6696,15120,0.6514,34200,29300,30500,34600,31900,0.598,0.402
Marshall University,Huntington,WV,www.marshall.edu/,1,5,13,38.42261,-82.43065,18,15,0.7653,490,495,NULL,22,23,21,NULL,1021,16981,6526,15026,0.7269,38900,31900,33300,35200,37700,0.4361,0.5639
Ohio Valley University,Vienna,WV,www.ovu.edu,2,5,13,39.31236,-81.5392,22,8,0.3235,475,455,440,20,20,20,NULL,944,28026,19260,19260,0.5366,36000,27200,31700,36700,37100,0.5401,0.4599
Shepherd University,Shepherdstown,WV,www.shepherd.edu/,1,5,31,39.434319,-77.804844,21,14,0.9829,500,490,NULL,22,21,20,NULL,999,15813,6570,16628,0.682,40300,32900,36700,38300,39700,0.4013,0.5987
West Virginia State University,Institute,WV,www.wvstateu.edu,1,5,22,38.379002,-81.76802,21,9,0.4144,430,450,412,20,19,19,NULL,942,14689,6228,14558,0.5787,31900,26300,28900,29200,31900,0.4484,0.5516
West Liberty University,West Liberty,WV,www.westliberty.edu/,1,5,41,40.162473,-80.604054,22,10,0.7236,440,470,415,21,20,19,NULL,965,19324,6415,13540,0.6647,37000,30000,31100,33900,34700,0.4125,0.5875
West Virginia University Institute of Technology,Montgomery,WV,www.wvutech.edu,1,5,41,38.179427,-81.325199,22,10,0.6192,465,500,NULL,21,20,20,NULL,983,15130,6048,15192,0.5336,50200,37100,41000,44000,47400,0.6413,0.3587
West Virginia Wesleyan College,Buckhannon,WV,www.wvwc.edu,2,5,33,38.990476,-80.217094,20,11,0.7759,480,482,469,22,22,21,NULL,1005,39927,27858,27858,0.7304,47300,30800,36800,41400,46500,0.4553,0.5447
West Virginia University,Morgantown,WV,www.wvu.edu/,1,5,13,39.63468,-79.953926,15,15,0.8579,510,530,NULL,24,23,23,NULL,1069,17585,6960,20242,0.7688,50200,37100,41000,44000,47400,0.5467,0.4533
Wheeling Jesuit University,Wheeling,WV,www.wju.edu,2,5,13,40.070873,-80.690804,19,11,0.6263,485,510,460,23,22,21,NULL,1032,35527,28030,28030,0.736,47500,38300,40800,43800,46100,0.4775,0.5225
