INSTNM,CITY,STABBR,INSTURL,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,RET_FT4,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,UGDS_MEN,UGDS_WOMEN
University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,1,5,12,33.50223,-86.80917,15,15,0.8569,570,565,NULL,24,25,23,NULL,1107,20621,7510,17062,0.8288,46300,37500,40000,42000,44500,0.4169,0.5831
University of Alabama in Huntsville,Huntsville,AL,www.uah.edu,1,5,12,34.722818,-86.63842,16,12,0.8203,595,590,NULL,27,28,26,NULL,1219,21107,9158,21232,0.7696,50400,39300,43400,44900,50200,0.5733,0.4267
The University of Alabama,Tuscaloosa,AL,www.ua.edu/,1,5,13,33.2144,-87.545766,16,16,0.5105,555,565,540,27,28,25,7,1185,26400,9826,24950,0.867,48600,36500,41700,43600,47200,0.458,0.542
Auburn University at Montgomery,Montgomery,AL,www.aum.edu,1,5,12,32.369939,-86.177351,18,12,0.8017,486,509,NULL,22,22,20,NULL,1009,17903,9080,19640,0.652,37700,30600,34500,33300,35500,0.3648,0.6352
Auburn University,Auburn,AL,www.auburn.edu,1,5,13,32.604685,-85.482782,16,15,0.8347,575,588,565,27,28,26,7,1215,25282,10200,27384,0.9052,52900,39900,44100,46800,49700,0.5103,0.4897
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,1,5,13,33.822128,-85.766644,18,13,0.8326,495,485,NULL,23,24,21,NULL,1041,20830,7092,13884,0.718,36700,29200,32000,33200,35800,0.4285,0.5715
University of Montevallo,Montevallo,AL,www.montevallo.edu,1,5,21,33.10625,-86.865099,19,10,0.743,548,528,533,23,25,21,NULL,1070,22440,10660,21220,0.7881,36300,26600,30700,30800,35600,0.3343,0.6657
University of North Alabama,Florence,AL,www.una.edu,1,5,13,34.80658,-87.680999,18,12,0.6788,506,484,NULL,22,23,21,NULL,1029,15494,7412,13268,0.723,39600,30100,33700,35900,37300,0.4257,0.5743
University of South Alabama,Mobile,AL,www.southalabama.edu,1,5,12,30.695081,-88.18189,16,16,0.8335,510,518,485,23,24,22,7,1048,18525,7188,14076,0.7107,44100,33900,37300,39300,43300,0.4388,0.5612
Arizona State University-Tempe,Tempe,AZ,www.asu.edu/,1,6,12,33.422247,-111.934629,15,15,0.8433,565,580,NULL,25,25,26,NULL,1145,22312,10157,24503,0.8609,52100,39400,43300,46600,50400,0.5618,0.4382
Prescott College,Prescott,AZ,www.prescott.edu,2,6,13,34.5445,-112.476509,20,6,0.6873,545,503,503,24,25,23,NULL,1073,41256,26415,26415,0.675,34200,27900,29100,30000,34100,0.4097,0.5903
University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www/,1,5,12,34.726644,-92.341835,17,12,0.5928,470,510,455,23,23,22,NULL,1048,22521,7432,17764,0.7109,37600,32200,33400,34300,37200,0.4066,0.5934
University of Arkansas,Fayetteville,AR,www.uark.edu,1,5,13,36.06153,-94.178214,15,16,0.6204,555,565,NULL,26,27,25,NULL,1155,20350,8210,20300,0.8284,49100,38000,40800,44500,47200,0.4829,0.5171
Arkansas State University-Main Campus,Jonesboro,AR,www2.astate.edu,1,5,13,35.842779,-90.680478,18,13,0.7239,460,520,445,24,25,23,NULL,1088,19359,7720,13480,0.7454,35600,30400,30600,31800,35100,0.4276,0.5724
